method: org.apache.fop.fonts.MultiByteFont.<init>:715159776
0(1071792592) -> 0(1727456874) 
this(1071792592) -> this(1727456874) 
l1(1071792592) -> l1(1727456874) 
l2(1071792592) -> l2(1727456874) 
counterFormat(1071792592) -> counterFormat(1727456874) 
cntString(1071792592) -> cntString(1727456874) 
sb(1071792592) -> sb(1727456874) 
$r0(1071792592) -> $r0(1727456874) 
$r1(1071792592) -> $r1(1727456874) 
$r3(1071792592) -> $r3(1727456874) 
$r6(1071792592) -> $r6(1727456874) 
$r7(1071792592) -> $r7(1727456874) 
$r8(1071792592) -> $r8(1727456874) 
$r9(1071792592) -> $r9(1727456874) 
$r10(1071792592) -> $r10(1727456874) 
$r11(1071792592) -> $r11(1727456874) 
0(1727456874) -> 0(1536257525) 
this(1727456874) -> this(1536257525) 
l1(1727456874) -> l1(1536257525) 
l2(1727456874) -> l2(1536257525) 
counterFormat(1727456874) -> counterFormat(1536257525) 
cntString(1727456874) -> cntString(1536257525) 
sb(1727456874) -> sb(1536257525) 
$r0(1727456874) -> $r0(1536257525) 
$r1(1727456874) -> $r1(1536257525) 
$r2(1727456874) -> $r2(1536257525) 
$r3(1727456874) -> $r3(1536257525) 
$r6(1727456874) -> $r6(1536257525) 
$r7(1727456874) -> $r7(1536257525) 
$r8(1727456874) -> $r8(1536257525) 
$r9(1727456874) -> $r9(1536257525) 
$r10(1727456874) -> $r10(1536257525) 
$r11(1727456874) -> $r11(1536257525) 
0(1536257525) -> 0(326781111) 
this(1536257525) -> this(326781111) 
l1(1536257525) -> l1(326781111) 
l2(1536257525) -> l2(326781111) 
counterFormat(1536257525) -> counterFormat(326781111) 
cntString(1536257525) -> cntString(326781111) 
sb(1536257525) -> sb(326781111) 
$r0(1536257525) -> $r0(326781111) 
$r1(1536257525) -> $r1(326781111) 
$r2(1536257525) -> $r2(326781111) 
$r6(1536257525) -> $r6(326781111) 
$r7(1536257525) -> $r7(326781111) 
$r8(1536257525) -> $r8(326781111) 
$r9(1536257525) -> $r9(326781111) 
$r10(1536257525) -> $r10(326781111) 
$r11(1536257525) -> $r11(326781111) 
0(326781111) -> 0(1083149611) 
this(326781111) -> this(1083149611) 
l1(326781111) -> l1(1083149611) 
l2(326781111) -> l2(1083149611) 
counterFormat(326781111) -> counterFormat(1083149611) 
cntString(326781111) -> cntString(1083149611) 
sb(326781111) -> sb(1083149611) 
$r0(326781111) -> $r0(1083149611) 
$r1(326781111) -> $r1(1083149611) 
$r2(326781111) -> $r2(1083149611) 
$r3(326781111) -> $r3(1083149611) 
$r6(326781111) -> $r6(1083149611) 
$r7(326781111) -> $r7(1083149611) 
$r8(326781111) -> $r8(1083149611) 
$r9(326781111) -> $r9(1083149611) 
$r10(326781111) -> $r10(1083149611) 
$r11(326781111) -> $r11(1083149611) 
0(1083149611) -> 0(1439332285) 
this(1083149611) -> this(1439332285) 
l1(1083149611) -> l1(1439332285) 
l2(1083149611) -> l2(1439332285) 
counterFormat(1083149611) -> counterFormat(1439332285) 
cntString(1083149611) -> cntString(1439332285) 
sb(1083149611) -> sb(1439332285) 
$r0(1083149611) -> $r0(1439332285) 
$r1(1083149611) -> $r1(1439332285) 
$r2(1083149611) -> $r2(1439332285) 
$r3(1083149611) -> $r3(1439332285) 
$r6(1083149611) -> $r6(1439332285) 
$r7(1083149611) -> $r7(1439332285) 
$r8(1083149611) -> $r8(1439332285) 
$r9(1083149611) -> $r9(1439332285) 
$r10(1083149611) -> $r10(1439332285) 
$r11(1083149611) -> $r11(1439332285) 
0(1439332285) -> 0(1601914187) 
this(1439332285) -> this(1601914187) 
l1(1439332285) -> l1(1601914187) 
l2(1439332285) -> l2(1601914187) 
counterFormat(1439332285) -> counterFormat(1601914187) 
cntString(1439332285) -> cntString(1601914187) 
sb(1439332285) -> sb(1601914187) 
$r0(1439332285) -> $r0(1601914187) 
$r1(1439332285) -> $r1(1601914187) 
$r2(1439332285) -> $r2(1601914187) 
$r3(1439332285) -> $r3(1601914187) 
$r6(1439332285) -> $r6(1601914187) 
$r7(1439332285) -> $r7(1601914187) 
$r8(1439332285) -> $r8(1601914187) 
$r9(1439332285) -> $r9(1601914187) 
$r10(1439332285) -> $r10(1601914187) 
$r11(1439332285) -> $r11(1601914187) 
0(1601914187) -> 0(852400056) 
this(1601914187) -> this(852400056) 
l1(1601914187) -> l1(852400056) 
l2(1601914187) -> l2(852400056) 
counterFormat(1601914187) -> counterFormat(852400056) 
cntString(1601914187) -> cntString(852400056) 
sb(1601914187) -> sb(852400056) 
$r0(1601914187) -> $r0(852400056) 
$r1(1601914187) -> $r1(852400056) 
$r3(1601914187) -> $r3(852400056) 
$r6(1601914187) -> $r6(852400056) 
$r7(1601914187) -> $r7(852400056) 
$r8(1601914187) -> $r8(852400056) 
$r9(1601914187) -> $r9(852400056) 
$r10(1601914187) -> $r10(852400056) 
$r11(1601914187) -> $r11(852400056) 
0(852400056) -> 0(424332055) 
this(852400056) -> this(424332055) 
l1(852400056) -> l1(424332055) 
l2(852400056) -> l2(424332055) 
counterFormat(852400056) -> counterFormat(424332055) 
cntString(852400056) -> cntString(424332055) 
sb(852400056) -> sb(424332055) 
$r0(852400056) -> $r0(424332055) 
$r1(852400056) -> $r1(424332055) 
$r2(852400056) -> $r2(424332055) 
$r3(852400056) -> $r3(424332055) 
$r6(852400056) -> $r6(424332055) 
$r7(852400056) -> $r7(424332055) 
$r8(852400056) -> $r8(424332055) 
$r9(852400056) -> $r9(424332055) 
$r10(852400056) -> $r10(424332055) 
$r11(852400056) -> $r11(424332055) 
0(424332055) -> 0(291962342) 
this(424332055) -> this(291962342) 
l1(424332055) -> l1(291962342) 
l2(424332055) -> l2(291962342) 
counterFormat(424332055) -> counterFormat(291962342) 
cntString(424332055) -> cntString(291962342) 
sb(424332055) -> sb(291962342) 
$r0(424332055) -> $r0(291962342) 
$r1(424332055) -> $r1(291962342) 
$r2(424332055) -> $r2(291962342) 
$r6(424332055) -> $r6(291962342) 
$r7(424332055) -> $r7(291962342) 
$r8(424332055) -> $r8(291962342) 
$r9(424332055) -> $r9(291962342) 
$r10(424332055) -> $r10(291962342) 
$r11(424332055) -> $r11(291962342) 
0(291962342) -> 0(276636458) 
this(291962342) -> this(276636458) 
l1(291962342) -> l1(276636458) 
l2(291962342) -> l2(276636458) 
counterFormat(291962342) -> counterFormat(276636458) 
cntString(291962342) -> cntString(276636458) 
sb(291962342) -> sb(276636458) 
$r0(291962342) -> $r0(276636458) 
$r1(291962342) -> $r1(276636458) 
$r2(291962342) -> $r2(276636458) 
$r3(291962342) -> $r3(276636458) 
$r6(291962342) -> $r6(276636458) 
$r7(291962342) -> $r7(276636458) 
$r8(291962342) -> $r8(276636458) 
$r9(291962342) -> $r9(276636458) 
$r10(291962342) -> $r10(276636458) 
$r11(291962342) -> $r11(276636458) 
0(276636458) -> 0(806867470) 
this(276636458) -> this(806867470) 
l1(276636458) -> l1(806867470) 
l2(276636458) -> l2(806867470) 
counterFormat(276636458) -> counterFormat(806867470) 
cntString(276636458) -> cntString(806867470) 
sb(276636458) -> sb(806867470) 
$r0(276636458) -> $r0(806867470) 
$r1(276636458) -> $r1(806867470) 
$r2(276636458) -> $r2(806867470) 
$r3(276636458) -> $r3(806867470) 
$r6(276636458) -> $r6(806867470) 
$r7(276636458) -> $r7(806867470) 
$r8(276636458) -> $r8(806867470) 
$r9(276636458) -> $r9(806867470) 
$r10(276636458) -> $r10(806867470) 
$r11(276636458) -> $r11(806867470) 
0(806867470) -> 0(705389416) 
this(806867470) -> this(705389416) 
l1(806867470) -> l1(705389416) 
l2(806867470) -> l2(705389416) 
counterFormat(806867470) -> counterFormat(705389416) 
cntString(806867470) -> cntString(705389416) 
sb(806867470) -> sb(705389416) 
$r0(806867470) -> $r0(705389416) 
$r1(806867470) -> $r1(705389416) 
$r2(806867470) -> $r2(705389416) 
$r3(806867470) -> $r3(705389416) 
$r6(806867470) -> $r6(705389416) 
$r7(806867470) -> $r7(705389416) 
$r8(806867470) -> $r8(705389416) 
$r9(806867470) -> $r9(705389416) 
$r10(806867470) -> $r10(705389416) 
$r11(806867470) -> $r11(705389416) 
0(705389416) -> 0(1370183272) 
this(705389416) -> this(1370183272) 
l1(705389416) -> l1(1370183272) 
l2(705389416) -> l2(1370183272) 
counterFormat(705389416) -> counterFormat(1370183272) 
cntString(705389416) -> cntString(1370183272) 
sb(705389416) -> sb(1370183272) 
$r0(705389416) -> $r0(1370183272) 
$r1(705389416) -> $r1(1370183272) 
$r2(705389416) -> $r2(1370183272) 
$r3(705389416) -> $r3(1370183272) 
$r6(705389416) -> $r6(1370183272) 
$r7(705389416) -> $r7(1370183272) 
$r8(705389416) -> $r8(1370183272) 
$r9(705389416) -> $r9(1370183272) 
$r10(705389416) -> $r10(1370183272) 
$r11(705389416) -> $r11(1370183272) 
0(1370183272) -> 0(2039349956) 
this(1370183272) -> this(2039349956) 
l1(1370183272) -> l1(2039349956) 
l2(1370183272) -> l2(2039349956) 
counterFormat(1370183272) -> counterFormat(2039349956) 
cntString(1370183272) -> cntString(2039349956) 
sb(1370183272) -> sb(2039349956) 
$r0(1370183272) -> $r0(2039349956) 
$r1(1370183272) -> $r1(2039349956) 
$r2(1370183272) -> $r2(2039349956) 
$r3(1370183272) -> $r3(2039349956) 
$r6(1370183272) -> $r6(2039349956) 
$r7(1370183272) -> $r7(2039349956) 
$r8(1370183272) -> $r8(2039349956) 
$r9(1370183272) -> $r9(2039349956) 
$r10(1370183272) -> $r10(2039349956) 
$r11(1370183272) -> $r11(2039349956) 
0(2039349956) -> 0(-2039349956) 
this(2039349956) -> this(-2039349956) 
l1(2039349956) -> l1(-2039349956) 
l2(2039349956) -> l2(-2039349956) 
counterFormat(2039349956) -> counterFormat(-2039349956) 
cntString(2039349956) -> cntString(-2039349956) 
sb(2039349956) -> sb(-2039349956) 
$r0(2039349956) -> $r0(-2039349956) 
$r1(2039349956) -> $r1(-2039349956) 
$r2(2039349956) -> $r2(-2039349956) 
$r3(2039349956) -> $r3(-2039349956) 
$r7(2039349956) -> $r7(-2039349956) 
$r8(2039349956) -> $r8(-2039349956) 
$r9(2039349956) -> $r9(-2039349956) 
$r10(2039349956) -> $r10(-2039349956) 
$r11(2039349956) -> $r11(-2039349956) 
0(-2039349956) -> 0(992359490) 
this(-2039349956) -> this(992359490) 
l1(-2039349956) -> l1(992359490) 
l2(-2039349956) -> l2(992359490) 
counterFormat(-2039349956) -> counterFormat(992359490) 
cntString(-2039349956) -> cntString(992359490) 
sb(-2039349956) -> sb(992359490) 
$r0(-2039349956) -> $r0(992359490) 
$r1(-2039349956) -> $r1(992359490) 
$r2(-2039349956) -> $r2(992359490) 
$r3(-2039349956) -> $r3(992359490) 
$r6(-2039349956) -> $r6(992359490) 
$r7(-2039349956) -> $r7(992359490) 
$r8(-2039349956) -> $r8(992359490) 
$r9(-2039349956) -> $r9(992359490) 
$r10(-2039349956) -> $r10(992359490) 
$r11(-2039349956) -> $r11(992359490) 
0(992359490) -> 0(1227945828) 
this(992359490) -> this(1227945828) 
l2(992359490) -> l2(1227945828) 
counterFormat(992359490) -> counterFormat(1227945828) 
cntString(992359490) -> cntString(1227945828) 
sb(992359490) -> sb(1227945828) 
$r0(992359490) -> $r0(1227945828) 
$r1(992359490) -> $r1(1227945828) 
$r2(992359490) -> $r2(1227945828) 
$r3(992359490) -> $r3(1227945828) 
$r6(992359490) -> l1(1227945828) 
$r6(992359490) -> $r6(1227945828) 
$r7(992359490) -> $r7(1227945828) 
$r8(992359490) -> $r8(1227945828) 
$r9(992359490) -> $r9(1227945828) 
$r10(992359490) -> $r10(1227945828) 
$r11(992359490) -> $r11(1227945828) 
0(1227945828) -> 0(-715159776) 
this(1227945828) -> this(-715159776) 
l1(1227945828) -> l1(-715159776) 
l2(1227945828) -> l2(-715159776) 
counterFormat(1227945828) -> counterFormat(-715159776) 
cntString(1227945828) -> cntString(-715159776) 
sb(1227945828) -> sb(-715159776) 
$r0(1227945828) -> $r0(-715159776) 
$r1(1227945828) -> $r1(-715159776) 
$r2(1227945828) -> $r2(-715159776) 
$r3(1227945828) -> $r3(-715159776) 
$r6(1227945828) -> $r6(-715159776) 
$r7(1227945828) -> $r7(-715159776) 
$r8(1227945828) -> $r8(-715159776) 
$r9(1227945828) -> $r9(-715159776) 
$r10(1227945828) -> $r10(-715159776) 
$r11(1227945828) -> $r11(-715159776) 
0(767683526) -> 0(8561703) 
this(767683526) -> this(8561703) 
l1(767683526) -> l1(8561703) 
l2(767683526) -> l2(8561703) 
counterFormat(767683526) -> counterFormat(8561703) 
cntString(767683526) -> cntString(8561703) 
sb(767683526) -> sb(8561703) 
$r0(767683526) -> $r0(8561703) 
$r1(767683526) -> $r1(8561703) 
$r2(767683526) -> $r2(8561703) 
$r3(767683526) -> $r3(8561703) 
$r6(767683526) -> $r6(8561703) 
$r7(767683526) -> $r7(8561703) 
$r8(767683526) -> $r8(8561703) 
$r9(767683526) -> $r9(8561703) 
$r10(767683526) -> $r10(8561703) 
$r11(767683526) -> $r11(8561703) 
0(8561703) -> 0(15137972) 
this(8561703) -> this(15137972) 
l1(8561703) -> l1(15137972) 
l2(8561703) -> l2(15137972) 
counterFormat(8561703) -> counterFormat(15137972) 
cntString(8561703) -> cntString(15137972) 
sb(8561703) -> sb(15137972) 
$r0(8561703) -> $r0(15137972) 
$r1(8561703) -> $r1(15137972) 
$r2(8561703) -> $r2(15137972) 
$r3(8561703) -> $r3(15137972) 
$r6(8561703) -> $r6(15137972) 
$r7(8561703) -> $r7(15137972) 
$r8(8561703) -> $r8(15137972) 
$r9(8561703) -> $r9(15137972) 
$r10(8561703) -> $r10(15137972) 
$r11(8561703) -> $r11(15137972) 
0(15137972) -> 0(1020825058) 
this(15137972) -> this(1020825058) 
l1(15137972) -> l1(1020825058) 
l2(15137972) -> l2(1020825058) 
counterFormat(15137972) -> counterFormat(1020825058) 
cntString(15137972) -> cntString(1020825058) 
sb(15137972) -> sb(1020825058) 
$r0(15137972) -> $r0(1020825058) 
$r1(15137972) -> $r1(1020825058) 
$r2(15137972) -> $r2(1020825058) 
$r3(15137972) -> $r3(1020825058) 
$r6(15137972) -> $r6(1020825058) 
$r7(15137972) -> $r7(1020825058) 
$r8(15137972) -> $r8(1020825058) 
$r9(15137972) -> $r9(1020825058) 
$r10(15137972) -> $r10(1020825058) 
$r11(15137972) -> $r11(1020825058) 
0(1020825058) -> 0(451915152) 
this(1020825058) -> this(451915152) 
l1(1020825058) -> l1(451915152) 
l2(1020825058) -> l2(451915152) 
counterFormat(1020825058) -> counterFormat(451915152) 
cntString(1020825058) -> cntString(451915152) 
sb(1020825058) -> sb(451915152) 
$r0(1020825058) -> $r0(451915152) 
$r1(1020825058) -> $r1(451915152) 
$r2(1020825058) -> $r2(451915152) 
$r3(1020825058) -> $r3(451915152) 
$r6(1020825058) -> $r6(451915152) 
$r7(1020825058) -> $r7(451915152) 
$r8(1020825058) -> $r8(451915152) 
$r9(1020825058) -> $r9(451915152) 
$r10(1020825058) -> $r10(451915152) 
$r11(1020825058) -> $r11(451915152) 
0(451915152) -> 0(178253248) 
this(451915152) -> this(178253248) 
l1(451915152) -> l1(178253248) 
l2(451915152) -> l2(178253248) 
counterFormat(451915152) -> counterFormat(178253248) 
cntString(451915152) -> cntString(178253248) 
sb(451915152) -> sb(178253248) 
$r0(451915152) -> $r0(178253248) 
$r1(451915152) -> $r1(178253248) 
$r2(451915152) -> $r2(178253248) 
$r3(451915152) -> $r3(178253248) 
$r6(451915152) -> $r6(178253248) 
$r7(451915152) -> $r7(178253248) 
$r8(451915152) -> $r8(178253248) 
$r9(451915152) -> $r9(178253248) 
$r10(451915152) -> $r10(178253248) 
$r11(451915152) -> $r11(178253248) 
0(451915152) -> 0(1835783872) 
this(451915152) -> this(1835783872) 
l1(451915152) -> l1(1835783872) 
l2(451915152) -> l2(1835783872) 
counterFormat(451915152) -> counterFormat(1835783872) 
cntString(451915152) -> cntString(1835783872) 
sb(451915152) -> sb(1835783872) 
$r0(451915152) -> $r0(1835783872) 
$r1(451915152) -> $r1(1835783872) 
$r2(451915152) -> $r2(1835783872) 
$r3(451915152) -> $r3(1835783872) 
$r6(451915152) -> $r6(1835783872) 
$r7(451915152) -> $r7(1835783872) 
$r8(451915152) -> $r8(1835783872) 
$r9(451915152) -> $r9(1835783872) 
$r10(451915152) -> $r10(1835783872) 
$r11(451915152) -> $r11(1835783872) 
0(1835783872) -> 0(1121980255) 
this(1835783872) -> this(1121980255) 
l1(1835783872) -> l1(1121980255) 
l2(1835783872) -> l2(1121980255) 
counterFormat(1835783872) -> counterFormat(1121980255) 
cntString(1835783872) -> cntString(1121980255) 
sb(1835783872) -> sb(1121980255) 
$r0(1835783872) -> $r0(1121980255) 
$r1(1835783872) -> $r1(1121980255) 
$r2(1835783872) -> $r2(1121980255) 
$r3(1835783872) -> $r3(1121980255) 
$r6(1835783872) -> $r6(1121980255) 
$r7(1835783872) -> $r7(1121980255) 
$r8(1835783872) -> $r8(1121980255) 
$r9(1835783872) -> $r9(1121980255) 
$r10(1835783872) -> $r10(1121980255) 
$r11(1835783872) -> $r11(1121980255) 
0(1121980255) -> 0(2085754813) 
this(1121980255) -> this(2085754813) 
l1(1121980255) -> l1(2085754813) 
l2(1121980255) -> l2(2085754813) 
counterFormat(1121980255) -> counterFormat(2085754813) 
cntString(1121980255) -> cntString(2085754813) 
sb(1121980255) -> sb(2085754813) 
$r0(1121980255) -> $r0(2085754813) 
$r1(1121980255) -> $r1(2085754813) 
$r2(1121980255) -> $r2(2085754813) 
$r3(1121980255) -> $r3(2085754813) 
$r6(1121980255) -> $r6(2085754813) 
$r7(1121980255) -> $r7(2085754813) 
$r8(1121980255) -> $r8(2085754813) 
$r9(1121980255) -> $r9(2085754813) 
$r10(1121980255) -> $r10(2085754813) 
$r11(1121980255) -> $r11(2085754813) 
0(1121980255) -> 0(178253248) 
this(1121980255) -> this(178253248) 
l1(1121980255) -> l1(178253248) 
l2(1121980255) -> l2(178253248) 
counterFormat(1121980255) -> counterFormat(178253248) 
cntString(1121980255) -> cntString(178253248) 
sb(1121980255) -> sb(178253248) 
$r0(1121980255) -> $r0(178253248) 
$r1(1121980255) -> $r1(178253248) 
$r2(1121980255) -> $r2(178253248) 
$r3(1121980255) -> $r3(178253248) 
$r6(1121980255) -> $r6(178253248) 
$r7(1121980255) -> $r7(178253248) 
$r8(1121980255) -> $r8(178253248) 
$r9(1121980255) -> $r9(178253248) 
$r10(1121980255) -> $r10(178253248) 
$r11(1121980255) -> $r11(178253248) 
0(178253248) -> 0(2085754813) 
this(178253248) -> this(2085754813) 
l1(178253248) -> l1(2085754813) 
l2(178253248) -> l2(2085754813) 
counterFormat(178253248) -> counterFormat(2085754813) 
cntString(178253248) -> cntString(2085754813) 
sb(178253248) -> sb(2085754813) 
$r0(178253248) -> $r0(2085754813) 
$r1(178253248) -> $r1(2085754813) 
$r2(178253248) -> $r2(2085754813) 
$r3(178253248) -> $r3(2085754813) 
$r6(178253248) -> $r6(2085754813) 
$r7(178253248) -> $r7(2085754813) 
$r8(178253248) -> $r8(2085754813) 
$r9(178253248) -> $r9(2085754813) 
$r10(178253248) -> $r10(2085754813) 
$r11(178253248) -> $r11(2085754813) 
0(2085754813) -> 0(-715159776) 
this(2085754813) -> this(-715159776) 
l1(2085754813) -> l1(-715159776) 
l2(2085754813) -> l2(-715159776) 
counterFormat(2085754813) -> counterFormat(-715159776) 
cntString(2085754813) -> cntString(-715159776) 
sb(2085754813) -> sb(-715159776) 
$r0(2085754813) -> $r0(-715159776) 
$r1(2085754813) -> $r1(-715159776) 
$r2(2085754813) -> $r2(-715159776) 
$r3(2085754813) -> $r3(-715159776) 
$r6(2085754813) -> $r6(-715159776) 
$r7(2085754813) -> $r7(-715159776) 
$r8(2085754813) -> $r8(-715159776) 
$r9(2085754813) -> $r9(-715159776) 
$r10(2085754813) -> $r10(-715159776) 
$r11(2085754813) -> $r11(-715159776) 
0(1905572110) -> 0(1492720774) 
this(1905572110) -> this(1492720774) 
l1(1905572110) -> l1(1492720774) 
l2(1905572110) -> l2(1492720774) 
counterFormat(1905572110) -> counterFormat(1492720774) 
cntString(1905572110) -> cntString(1492720774) 
sb(1905572110) -> sb(1492720774) 
$r0(1905572110) -> $r0(1492720774) 
$r1(1905572110) -> $r1(1492720774) 
$r2(1905572110) -> $r2(1492720774) 
$r3(1905572110) -> $r3(1492720774) 
$r6(1905572110) -> $r6(1492720774) 
$r7(1905572110) -> $r7(1492720774) 
$r8(1905572110) -> $r8(1492720774) 
$r9(1905572110) -> $r9(1492720774) 
$r10(1905572110) -> $r10(1492720774) 
$r11(1905572110) -> $r11(1492720774) 
0(1526825059) -> 0(305843114) 
this(1526825059) -> this(305843114) 
l1(1526825059) -> l1(305843114) 
counterFormat(1526825059) -> counterFormat(305843114) 
cntString(1526825059) -> cntString(305843114) 
sb(1526825059) -> sb(305843114) 
$r0(1526825059) -> $r0(305843114) 
$r1(1526825059) -> $r1(305843114) 
$r2(1526825059) -> $r2(305843114) 
$r3(1526825059) -> $r3(305843114) 
$r6(1526825059) -> $r6(305843114) 
$r7(1526825059) -> l2(305843114) 
$r7(1526825059) -> $r7(305843114) 
$r8(1526825059) -> $r8(305843114) 
$r9(1526825059) -> $r9(305843114) 
$r10(1526825059) -> $r10(305843114) 
$r11(1526825059) -> $r11(305843114) 
0(305843114) -> 0(-715159776) 
this(305843114) -> this(-715159776) 
l1(305843114) -> l1(-715159776) 
l2(305843114) -> l2(-715159776) 
counterFormat(305843114) -> counterFormat(-715159776) 
cntString(305843114) -> cntString(-715159776) 
sb(305843114) -> sb(-715159776) 
$r0(305843114) -> $r0(-715159776) 
$r1(305843114) -> $r1(-715159776) 
$r2(305843114) -> $r2(-715159776) 
$r3(305843114) -> $r3(-715159776) 
$r6(305843114) -> $r6(-715159776) 
$r7(305843114) -> $r7(-715159776) 
$r8(305843114) -> $r8(-715159776) 
$r9(305843114) -> $r9(-715159776) 
$r10(305843114) -> $r10(-715159776) 
$r11(305843114) -> $r11(-715159776) 
0(1492720774) -> 0(827832135) 
this(1492720774) -> this(827832135) 
l1(1492720774) -> l1(827832135) 
l2(1492720774) -> l2(827832135) 
counterFormat(1492720774) -> counterFormat(827832135) 
cntString(1492720774) -> cntString(827832135) 
sb(1492720774) -> sb(827832135) 
$r0(1492720774) -> $r0(827832135) 
$r1(1492720774) -> $r1(827832135) 
$r2(1492720774) -> $r2(827832135) 
$r3(1492720774) -> $r3(827832135) 
$r6(1492720774) -> $r6(827832135) 
$r7(1492720774) -> $r7(827832135) 
$r9(1492720774) -> $r9(827832135) 
$r10(1492720774) -> $r10(827832135) 
$r11(1492720774) -> $r11(827832135) 
0(827832135) -> 0(1975627679) 
this(827832135) -> this(1975627679) 
l1(827832135) -> l1(1975627679) 
l2(827832135) -> l2(1975627679) 
counterFormat(827832135) -> counterFormat(1975627679) 
cntString(827832135) -> cntString(1975627679) 
sb(827832135) -> sb(1975627679) 
$r0(827832135) -> $r0(1975627679) 
$r1(827832135) -> $r1(1975627679) 
$r2(827832135) -> $r2(1975627679) 
$r3(827832135) -> $r3(1975627679) 
$r6(827832135) -> $r6(1975627679) 
$r7(827832135) -> $r7(1975627679) 
$r8(827832135) -> $r8(1975627679) 
$r9(827832135) -> $r9(1975627679) 
$r10(827832135) -> $r10(1975627679) 
$r11(827832135) -> $r11(1975627679) 
0(1975627679) -> 0(193439406) 
this(1975627679) -> this(193439406) 
l1(1975627679) -> l1(193439406) 
l2(1975627679) -> l2(193439406) 
cntString(1975627679) -> cntString(193439406) 
sb(1975627679) -> sb(193439406) 
$r0(1975627679) -> $r0(193439406) 
$r1(1975627679) -> $r1(193439406) 
$r2(1975627679) -> $r2(193439406) 
$r3(1975627679) -> $r3(193439406) 
$r6(1975627679) -> $r6(193439406) 
$r7(1975627679) -> $r7(193439406) 
$r8(1975627679) -> counterFormat(193439406) 
$r8(1975627679) -> $r8(193439406) 
$r9(1975627679) -> $r9(193439406) 
$r10(1975627679) -> $r10(193439406) 
$r11(1975627679) -> $r11(193439406) 
0(193439406) -> 0(1993338731) 
this(193439406) -> this(1993338731) 
l1(193439406) -> l1(1993338731) 
l2(193439406) -> l2(1993338731) 
counterFormat(193439406) -> counterFormat(1993338731) 
cntString(193439406) -> cntString(1993338731) 
sb(193439406) -> sb(1993338731) 
$r0(193439406) -> $r0(1993338731) 
$r1(193439406) -> $r1(1993338731) 
$r2(193439406) -> $r2(1993338731) 
$r3(193439406) -> $r3(1993338731) 
$r6(193439406) -> $r6(1993338731) 
$r7(193439406) -> $r7(1993338731) 
$r8(193439406) -> $r8(1993338731) 
$r9(193439406) -> $r9(1993338731) 
$r10(193439406) -> $r10(1993338731) 
$r11(193439406) -> $r11(1993338731) 
0(1993338731) -> 0(1494317570) 
this(1993338731) -> this(1494317570) 
l1(1993338731) -> l1(1494317570) 
l2(1993338731) -> l2(1494317570) 
counterFormat(1993338731) -> counterFormat(1494317570) 
cntString(1993338731) -> cntString(1494317570) 
sb(1993338731) -> sb(1494317570) 
$r0(1993338731) -> $r0(1494317570) 
$r1(1993338731) -> $r1(1494317570) 
$r2(1993338731) -> $r2(1494317570) 
$r3(1993338731) -> $r3(1494317570) 
$r6(1993338731) -> $r6(1494317570) 
$r7(1993338731) -> $r7(1494317570) 
$r8(1993338731) -> $r8(1494317570) 
$r9(1993338731) -> $r9(1494317570) 
$r10(1993338731) -> $r10(1494317570) 
$r11(1993338731) -> $r11(1494317570) 
0(1494317570) -> 0(-1494317570) 
this(1494317570) -> this(-1494317570) 
l1(1494317570) -> l1(-1494317570) 
l2(1494317570) -> l2(-1494317570) 
counterFormat(1494317570) -> counterFormat(-1494317570) 
sb(1494317570) -> sb(-1494317570) 
$r0(1494317570) -> $r0(-1494317570) 
$r1(1494317570) -> $r1(-1494317570) 
$r2(1494317570) -> $r2(-1494317570) 
$r3(1494317570) -> $r3(-1494317570) 
$r6(1494317570) -> $r6(-1494317570) 
$r7(1494317570) -> $r7(-1494317570) 
$r8(1494317570) -> $r8(-1494317570) 
$r9(1494317570) -> $r9(-1494317570) 
$r10(1494317570) -> $r10(-1494317570) 
$r11(1494317570) -> $r11(-1494317570) 
0(-1494317570) -> 0(174147325) 
this(-1494317570) -> this(174147325) 
l1(-1494317570) -> l1(174147325) 
l2(-1494317570) -> l2(174147325) 
counterFormat(-1494317570) -> counterFormat(174147325) 
cntString(-1494317570) -> cntString(174147325) 
sb(-1494317570) -> sb(174147325) 
$r0(-1494317570) -> $r0(174147325) 
$r1(-1494317570) -> $r1(174147325) 
$r2(-1494317570) -> $r2(174147325) 
$r3(-1494317570) -> $r3(174147325) 
$r6(-1494317570) -> $r6(174147325) 
$r7(-1494317570) -> $r7(174147325) 
$r8(-1494317570) -> $r8(174147325) 
$r9(-1494317570) -> $r9(174147325) 
$r10(-1494317570) -> $r10(174147325) 
$r11(-1494317570) -> $r11(174147325) 
0(174147325) -> 0(1322910410) 
this(174147325) -> this(1322910410) 
l1(174147325) -> l1(1322910410) 
l2(174147325) -> l2(1322910410) 
counterFormat(174147325) -> counterFormat(1322910410) 
cntString(174147325) -> cntString(1322910410) 
sb(174147325) -> sb(1322910410) 
$r0(174147325) -> $r0(1322910410) 
$r1(174147325) -> $r1(1322910410) 
$r2(174147325) -> $r2(1322910410) 
$r3(174147325) -> $r3(1322910410) 
$r6(174147325) -> $r6(1322910410) 
$r7(174147325) -> $r7(1322910410) 
$r8(174147325) -> $r8(1322910410) 
$r10(174147325) -> $r10(1322910410) 
$r11(174147325) -> $r11(1322910410) 
0(1322910410) -> 0(1257063479) 
this(1322910410) -> this(1257063479) 
l1(1322910410) -> l1(1257063479) 
