method: org.apache.fop.fo.properties.CommonFont.getInstance:1271103604
fontStyle(8597009) -> fontStyle(-8597009) 
fontVariant(8597009) -> fontVariant(-8597009) 
fontWeight(8597009) -> fontWeight(-8597009) 
cachedCommonFont(8597009) -> cachedCommonFont(-8597009) 
fontSizeAdjust(8597009) -> fontSizeAdjust(-8597009) 
fontSize(8597009) -> fontSize(-8597009) 
cf(8597009) -> cf(-8597009) 
$r1(8597009) -> $r1(-8597009) 
$r2(8597009) -> $r2(-8597009) 
0(-8597009) -> 0(1177909584) 
pList(-8597009) -> pList(1177909584) 
fontFamily(-8597009) -> fontFamily(1177909584) 
fontSelectionStrategy(-8597009) -> fontSelectionStrategy(1177909584) 
fontStretch(-8597009) -> fontStretch(1177909584) 
fontStyle(-8597009) -> fontStyle(1177909584) 
fontVariant(-8597009) -> fontVariant(1177909584) 
fontWeight(-8597009) -> fontWeight(1177909584) 
cachedCommonFont(-8597009) -> cachedCommonFont(1177909584) 
fontSizeAdjust(-8597009) -> fontSizeAdjust(1177909584) 
fontSize(-8597009) -> fontSize(1177909584) 
cf(-8597009) -> cf(1177909584) 
$r0(-8597009) -> $r0(1177909584) 
$r1(-8597009) -> $r1(1177909584) 
$r2(-8597009) -> $r2(1177909584) 
0(1177909584) -> 0(-1177909584) 
pList(1177909584) -> pList(-1177909584) 
fontFamily(1177909584) -> fontFamily(-1177909584) 
fontSelectionStrategy(1177909584) -> fontSelectionStrategy(-1177909584) 
fontStretch(1177909584) -> fontStretch(-1177909584) 
fontStyle(1177909584) -> fontStyle(-1177909584) 
fontVariant(1177909584) -> fontVariant(-1177909584) 
fontWeight(1177909584) -> fontWeight(-1177909584) 
cachedCommonFont(1177909584) -> cachedCommonFont(-1177909584) 
fontSizeAdjust(1177909584) -> fontSizeAdjust(-1177909584) 
cf(1177909584) -> cf(-1177909584) 
$r0(1177909584) -> $r0(-1177909584) 
$r1(1177909584) -> $r1(-1177909584) 
$r2(1177909584) -> $r2(-1177909584) 
0(-1177909584) -> 0(1622120242) 
pList(-1177909584) -> pList(1622120242) 
fontFamily(-1177909584) -> fontFamily(1622120242) 
fontSelectionStrategy(-1177909584) -> fontSelectionStrategy(1622120242) 
fontStretch(-1177909584) -> fontStretch(1622120242) 
fontStyle(-1177909584) -> fontStyle(1622120242) 
fontVariant(-1177909584) -> fontVariant(1622120242) 
fontWeight(-1177909584) -> fontWeight(1622120242) 
cachedCommonFont(-1177909584) -> cachedCommonFont(1622120242) 
fontSizeAdjust(-1177909584) -> fontSizeAdjust(1622120242) 
fontSize(-1177909584) -> fontSize(1622120242) 
cf(-1177909584) -> cf(1622120242) 
$r0(-1177909584) -> $r0(1622120242) 
$r1(-1177909584) -> $r1(1622120242) 
$r2(-1177909584) -> $r2(1622120242) 
0(1622120242) -> 0(173300620) 
pList(1622120242) -> pList(173300620) 
fontFamily(1622120242) -> fontFamily(173300620) 
fontSelectionStrategy(1622120242) -> fontSelectionStrategy(173300620) 
fontStretch(1622120242) -> fontStretch(173300620) 
fontStyle(1622120242) -> fontStyle(173300620) 
fontVariant(1622120242) -> fontVariant(173300620) 
fontWeight(1622120242) -> fontWeight(173300620) 
cachedCommonFont(1622120242) -> cachedCommonFont(173300620) 
fontSizeAdjust(1622120242) -> fontSizeAdjust(173300620) 
fontSize(1622120242) -> fontSize(173300620) 
cf(1622120242) -> cf(173300620) 
$r0(1622120242) -> $r0(173300620) 
$r2(1622120242) -> $r2(173300620) 
0(173300620) -> 0(675695008) 
pList(173300620) -> pList(675695008) 
fontFamily(173300620) -> fontFamily(675695008) 
fontSelectionStrategy(173300620) -> fontSelectionStrategy(675695008) 
fontStretch(173300620) -> fontStretch(675695008) 
fontStyle(173300620) -> fontStyle(675695008) 
fontVariant(173300620) -> fontVariant(675695008) 
fontWeight(173300620) -> fontWeight(675695008) 
cachedCommonFont(173300620) -> cachedCommonFont(675695008) 
fontSizeAdjust(173300620) -> fontSizeAdjust(675695008) 
fontSize(173300620) -> fontSize(675695008) 
cf(173300620) -> cf(675695008) 
$r0(173300620) -> $r0(675695008) 
$r1(173300620) -> $r1(675695008) 
$r2(173300620) -> $r2(675695008) 
0(675695008) -> 0(1743110370) 
pList(675695008) -> pList(1743110370) 
fontFamily(675695008) -> fontFamily(1743110370) 
fontSelectionStrategy(675695008) -> fontSelectionStrategy(1743110370) 
fontStretch(675695008) -> fontStretch(1743110370) 
fontStyle(675695008) -> fontStyle(1743110370) 
fontVariant(675695008) -> fontVariant(1743110370) 
fontWeight(675695008) -> fontWeight(1743110370) 
cachedCommonFont(675695008) -> cachedCommonFont(1743110370) 
fontSizeAdjust(675695008) -> fontSizeAdjust(1743110370) 
fontSize(675695008) -> fontSize(1743110370) 
$r0(675695008) -> $r0(1743110370) 
$r1(675695008) -> cf(1743110370) 
$r1(675695008) -> $r1(1743110370) 
$r2(675695008) -> $r2(1743110370) 
0(1743110370) -> 0(-1743110370) 
pList(1743110370) -> pList(-1743110370) 
fontFamily(1743110370) -> fontFamily(-1743110370) 
fontSelectionStrategy(1743110370) -> fontSelectionStrategy(-1743110370) 
fontStretch(1743110370) -> fontStretch(-1743110370) 
fontStyle(1743110370) -> fontStyle(-1743110370) 
fontVariant(1743110370) -> fontVariant(-1743110370) 
fontWeight(1743110370) -> fontWeight(-1743110370) 
cachedCommonFont(1743110370) -> cachedCommonFont(-1743110370) 
fontSizeAdjust(1743110370) -> fontSizeAdjust(-1743110370) 
fontSize(1743110370) -> fontSize(-1743110370) 
cf(1743110370) -> cf(-1743110370) 
$r0(1743110370) -> $r0(-1743110370) 
$r1(1743110370) -> $r1(-1743110370) 
$r2(1743110370) -> $r2(-1743110370) 
0(-1743110370) -> 0(484076216) 
pList(-1743110370) -> pList(484076216) 
fontFamily(-1743110370) -> fontFamily(484076216) 
fontSelectionStrategy(-1743110370) -> fontSelectionStrategy(484076216) 
fontStretch(-1743110370) -> fontStretch(484076216) 
fontStyle(-1743110370) -> fontStyle(484076216) 
fontVariant(-1743110370) -> fontVariant(484076216) 
fontWeight(-1743110370) -> fontWeight(484076216) 
cachedCommonFont(-1743110370) -> cachedCommonFont(484076216) 
fontSizeAdjust(-1743110370) -> fontSizeAdjust(484076216) 
fontSize(-1743110370) -> fontSize(484076216) 
cf(-1743110370) -> cf(484076216) 
$r0(-1743110370) -> $r0(484076216) 
$r1(-1743110370) -> $r1(484076216) 
$r2(-1743110370) -> $r2(484076216) 
0(484076216) -> 0(1459832617) 
pList(484076216) -> pList(1459832617) 
fontFamily(484076216) -> fontFamily(1459832617) 
fontSelectionStrategy(484076216) -> fontSelectionStrategy(1459832617) 
fontStretch(484076216) -> fontStretch(1459832617) 
fontStyle(484076216) -> fontStyle(1459832617) 
fontVariant(484076216) -> fontVariant(1459832617) 
fontWeight(484076216) -> fontWeight(1459832617) 
cachedCommonFont(484076216) -> cachedCommonFont(1459832617) 
fontSizeAdjust(484076216) -> fontSizeAdjust(1459832617) 
fontSize(484076216) -> fontSize(1459832617) 
cf(484076216) -> cf(1459832617) 
$r0(484076216) -> $r0(1459832617) 
$r1(484076216) -> $r1(1459832617) 
$r2(484076216) -> $r2(1459832617) 
0(484076216) -> 0(1600634626) 
pList(484076216) -> pList(1600634626) 
fontFamily(484076216) -> fontFamily(1600634626) 
fontSelectionStrategy(484076216) -> fontSelectionStrategy(1600634626) 
fontStretch(484076216) -> fontStretch(1600634626) 
fontStyle(484076216) -> fontStyle(1600634626) 
fontVariant(484076216) -> fontVariant(1600634626) 
fontWeight(484076216) -> fontWeight(1600634626) 
cachedCommonFont(484076216) -> cachedCommonFont(1600634626) 
fontSizeAdjust(484076216) -> fontSizeAdjust(1600634626) 
fontSize(484076216) -> fontSize(1600634626) 
cf(484076216) -> cf(1600634626) 
$r0(484076216) -> $r0(1600634626) 
$r1(484076216) -> $r1(1600634626) 
$r2(484076216) -> $r2(1600634626) 
0(1600634626) -> 0(-1600634626) 
pList(1600634626) -> pList(-1600634626) 
fontFamily(1600634626) -> fontFamily(-1600634626) 
fontSelectionStrategy(1600634626) -> fontSelectionStrategy(-1600634626) 
fontStretch(1600634626) -> fontStretch(-1600634626) 
fontStyle(1600634626) -> fontStyle(-1600634626) 
fontVariant(1600634626) -> fontVariant(-1600634626) 
fontWeight(1600634626) -> fontWeight(-1600634626) 
cachedCommonFont(1600634626) -> cachedCommonFont(-1600634626) 
