method: org.apache.fop.layoutmgr.BreakingAlgorithm.findContextFO:624145848
0(1836733600) -> 0(2005982205) 
this(1836733600) -> this(2005982205) 
seq(1836733600) -> seq(2005982205) 
el(1836733600) -> el(2005982205) 
pos(1836733600) -> pos(2005982205) 
lm(1836733600) -> lm(2005982205) 
$r0(1836733600) -> $r0(2005982205) 
$r1(1836733600) -> $r1(2005982205) 
$r2(1836733600) -> $r2(2005982205) 
$r3(1836733600) -> $r3(2005982205) 
0(1836733600) -> 0(326922275) 
this(1836733600) -> this(326922275) 
seq(1836733600) -> seq(326922275) 
el(1836733600) -> el(326922275) 
pos(1836733600) -> pos(326922275) 
lm(1836733600) -> lm(326922275) 
$r0(1836733600) -> $r0(326922275) 
$r1(1836733600) -> $r1(326922275) 
$r2(1836733600) -> $r2(326922275) 
$r3(1836733600) -> $r3(326922275) 
0(326922275) -> 0(-326922275) 
this(326922275) -> this(-326922275) 
seq(326922275) -> seq(-326922275) 
el(326922275) -> el(-326922275) 
pos(326922275) -> pos(-326922275) 
lm(326922275) -> lm(-326922275) 
$r0(326922275) -> $r0(-326922275) 
$r1(326922275) -> $r1(-326922275) 
$r2(326922275) -> $r2(-326922275) 
0(-326922275) -> 0(1319506899) 
this(-326922275) -> this(1319506899) 
seq(-326922275) -> seq(1319506899) 
el(-326922275) -> el(1319506899) 
pos(-326922275) -> pos(1319506899) 
lm(-326922275) -> lm(1319506899) 
$r0(-326922275) -> $r0(1319506899) 
$r1(-326922275) -> $r1(1319506899) 
$r2(-326922275) -> $r2(1319506899) 
$r3(-326922275) -> $r3(1319506899) 
0(1319506899) -> 0(-624145848) 
this(1319506899) -> this(-624145848) 
seq(1319506899) -> seq(-624145848) 
el(1319506899) -> el(-624145848) 
pos(1319506899) -> pos(-624145848) 
lm(1319506899) -> lm(-624145848) 
$r0(1319506899) -> $r0(-624145848) 
$r1(1319506899) -> $r1(-624145848) 
$r2(1319506899) -> $r2(-624145848) 
$r3(1319506899) -> $r3(-624145848) 
$r3(1319506899) -> .return(-624145848) 
0(2005982205) -> 0(-624145848) 
this(2005982205) -> this(-624145848) 
seq(2005982205) -> seq(-624145848) 
el(2005982205) -> el(-624145848) 
pos(2005982205) -> pos(-624145848) 
lm(2005982205) -> lm(-624145848) 
$r0(2005982205) -> $r0(-624145848) 
$r1(2005982205) -> $r1(-624145848) 
$r2(2005982205) -> $r2(-624145848) 
$r3(2005982205) -> $r3(-624145848) 
0(2005982205) -> .return(-624145848) 
