method: org.apache.fop.cli.InputHandler.transformTo:362993729
$r5(861992645) -> $r5(351617769) 
$r6(861992645) -> $r6(351617769) 
$r7(861992645) -> $r7(351617769) 
$r8(861992645) -> $r8(351617769) 
0(585701853) -> 0(1973489170) 
this(585701853) -> this(1973489170) 
result(585701853) -> result(1973489170) 
factory(585701853) -> factory(1973489170) 
xsltSource(585701853) -> xsltSource(1973489170) 
transformer(585701853) -> transformer(1973489170) 
src(585701853) -> src(1973489170) 
$r0(585701853) -> $r0(1973489170) 
$r1(585701853) -> $r1(1973489170) 
$r2(585701853) -> $r2(1973489170) 
$r3(585701853) -> $r3(1973489170) 
$r4(585701853) -> $r4(1973489170) 
$r5(585701853) -> $r5(1973489170) 
$r6(585701853) -> $r6(1973489170) 
$r7(585701853) -> e(1973489170) 
$r7(585701853) -> $r7(1973489170) 
$r8(585701853) -> $r8(1973489170) 
0(1973489170) -> 0(314088170) 
this(1973489170) -> this(314088170) 
result(1973489170) -> result(314088170) 
factory(1973489170) -> factory(314088170) 
xsltSource(1973489170) -> xsltSource(314088170) 
transformer(1973489170) -> transformer(314088170) 
src(1973489170) -> src(314088170) 
e(1973489170) -> e(314088170) 
$r0(1973489170) -> $r0(314088170) 
$r1(1973489170) -> $r1(314088170) 
$r2(1973489170) -> $r2(314088170) 
$r3(1973489170) -> $r3(314088170) 
$r4(1973489170) -> $r4(314088170) 
$r5(1973489170) -> $r5(314088170) 
$r6(1973489170) -> $r6(314088170) 
$r7(1973489170) -> $r7(314088170) 
0(314088170) -> 0(365068864) 
this(314088170) -> this(365068864) 
result(314088170) -> result(365068864) 
factory(314088170) -> factory(365068864) 
xsltSource(314088170) -> xsltSource(365068864) 
transformer(314088170) -> transformer(365068864) 
src(314088170) -> src(365068864) 
e(314088170) -> e(365068864) 
$r0(314088170) -> $r0(365068864) 
$r1(314088170) -> $r1(365068864) 
$r2(314088170) -> $r2(365068864) 
$r3(314088170) -> $r3(365068864) 
$r4(314088170) -> $r4(365068864) 
$r5(314088170) -> $r5(365068864) 
$r6(314088170) -> $r6(365068864) 
$r7(314088170) -> $r7(365068864) 
$r8(314088170) -> $r8(365068864) 
0(351617769) -> 0(-362993729) 
this(351617769) -> this(-362993729) 
result(351617769) -> result(-362993729) 
factory(351617769) -> factory(-362993729) 
xsltSource(351617769) -> xsltSource(-362993729) 
transformer(351617769) -> transformer(-362993729) 
src(351617769) -> src(-362993729) 
e(351617769) -> e(-362993729) 
$r0(351617769) -> $r0(-362993729) 
$r1(351617769) -> $r1(-362993729) 
$r2(351617769) -> $r2(-362993729) 
$r3(351617769) -> $r3(-362993729) 
$r4(351617769) -> $r4(-362993729) 
$r5(351617769) -> $r5(-362993729) 
$r6(351617769) -> $r6(-362993729) 
$r7(351617769) -> $r7(-362993729) 
$r8(351617769) -> $r8(-362993729) 
0(351617769) -> .return(-362993729) 
