method: org.apache.fop.fonts.FontCache.loadFrom:1965980830
$r1(1676224300) -> $r1(1833579808) 
$r2(1676224300) -> $r2(1833579808) 
$r3(1676224300) -> $r3(1833579808) 
$r4(1676224300) -> $r4(1833579808) 
$r5(1676224300) -> $r5(1833579808) 
in(1676224300) -> in(1833579808) 
$r6(1676224300) -> $r6(1833579808) 
$r7(1676224300) -> l3(1833579808) 
$r7(1676224300) -> $r7(1833579808) 
$r8(1676224300) -> $r8(1833579808) 
$r9(1676224300) -> $r9(1833579808) 
$r10(1676224300) -> $r10(1833579808) 
0(1833579808) -> 0(705000488) 
cacheFile(1833579808) -> cacheFile(705000488) 
$r0(1833579808) -> $r0(705000488) 
in(1833579808) -> in(705000488) 
oin(1833579808) -> oin(705000488) 
l3(1833579808) -> l3(705000488) 
l4(1833579808) -> l4(705000488) 
e(1833579808) -> e(705000488) 
ioe(1833579808) -> ioe(705000488) 
$r1(1833579808) -> $r1(705000488) 
$r2(1833579808) -> $r2(705000488) 
$r3(1833579808) -> $r3(705000488) 
$r4(1833579808) -> $r4(705000488) 
$r5(1833579808) -> $r5(705000488) 
in(1833579808) -> in(705000488) 
$r6(1833579808) -> $r6(705000488) 
$r7(1833579808) -> $r7(705000488) 
$r8(1833579808) -> $r8(705000488) 
$r9(1833579808) -> $r9(705000488) 
$r10(1833579808) -> $r10(705000488) 
0(705000488) -> 0(-1965980830) 
cacheFile(705000488) -> cacheFile(-1965980830) 
$r0(705000488) -> $r0(-1965980830) 
in(705000488) -> in(-1965980830) 
oin(705000488) -> oin(-1965980830) 
l3(705000488) -> l3(-1965980830) 
l4(705000488) -> l4(-1965980830) 
e(705000488) -> e(-1965980830) 
ioe(705000488) -> ioe(-1965980830) 
$r1(705000488) -> $r1(-1965980830) 
$r2(705000488) -> $r2(-1965980830) 
$r3(705000488) -> $r3(-1965980830) 
$r4(705000488) -> $r4(-1965980830) 
$r5(705000488) -> $r5(-1965980830) 
in(705000488) -> in(-1965980830) 
$r6(705000488) -> $r6(-1965980830) 
$r7(705000488) -> $r7(-1965980830) 
$r8(705000488) -> $r8(-1965980830) 
$r9(705000488) -> $r9(-1965980830) 
$r10(705000488) -> $r10(-1965980830) 
l3(705000488) -> .return(-1965980830) 
0(1275921317) -> 0(1896003984) 
cacheFile(1275921317) -> cacheFile(1896003984) 
$r0(1275921317) -> $r0(1896003984) 
in(1275921317) -> in(1896003984) 
oin(1275921317) -> oin(1896003984) 
l3(1275921317) -> l3(1896003984) 
e(1275921317) -> e(1896003984) 
ioe(1275921317) -> ioe(1896003984) 
$r1(1275921317) -> $r1(1896003984) 
$r2(1275921317) -> $r2(1896003984) 
$r3(1275921317) -> $r3(1896003984) 
$r4(1275921317) -> $r4(1896003984) 
$r5(1275921317) -> $r5(1896003984) 
in(1275921317) -> in(1896003984) 
$r6(1275921317) -> $r6(1896003984) 
$r7(1275921317) -> $r7(1896003984) 
$r8(1275921317) -> l4(1896003984) 
$r8(1275921317) -> $r8(1896003984) 
$r9(1275921317) -> $r9(1896003984) 
$r10(1275921317) -> $r10(1896003984) 
0(1896003984) -> 0(785960026) 
cacheFile(1896003984) -> cacheFile(785960026) 
$r0(1896003984) -> $r0(785960026) 
in(1896003984) -> in(785960026) 
oin(1896003984) -> oin(785960026) 
l3(1896003984) -> l3(785960026) 
l4(1896003984) -> l4(785960026) 
e(1896003984) -> e(785960026) 
ioe(1896003984) -> ioe(785960026) 
$r1(1896003984) -> $r1(785960026) 
$r2(1896003984) -> $r2(785960026) 
$r3(1896003984) -> $r3(785960026) 
$r4(1896003984) -> $r4(785960026) 
$r5(1896003984) -> $r5(785960026) 
in(1896003984) -> in(785960026) 
$r6(1896003984) -> $r6(785960026) 
$r7(1896003984) -> $r7(785960026) 
$r8(1896003984) -> $r8(785960026) 
$r9(1896003984) -> $r9(785960026) 
$r10(1896003984) -> $r10(785960026) 
0(458244285) -> 0(835339853) 
cacheFile(458244285) -> cacheFile(835339853) 
$r0(458244285) -> $r0(835339853) 
in(458244285) -> in(835339853) 
oin(458244285) -> oin(835339853) 
l3(458244285) -> l3(835339853) 
l4(458244285) -> l4(835339853) 
ioe(458244285) -> ioe(835339853) 
$r1(458244285) -> $r1(835339853) 
$r2(458244285) -> $r2(835339853) 
$r3(458244285) -> $r3(835339853) 
$r4(458244285) -> $r4(835339853) 
$r5(458244285) -> $r5(835339853) 
in(458244285) -> in(835339853) 
$r6(458244285) -> $r6(835339853) 
$r7(458244285) -> $r7(835339853) 
$r8(458244285) -> $r8(835339853) 
$r9(458244285) -> e(835339853) 
$r9(458244285) -> $r9(835339853) 
$r10(458244285) -> $r10(835339853) 
0(835339853) -> 0(1456308932) 
cacheFile(835339853) -> cacheFile(1456308932) 
$r0(835339853) -> $r0(1456308932) 
in(835339853) -> in(1456308932) 
oin(835339853) -> oin(1456308932) 
l3(835339853) -> l3(1456308932) 
l4(835339853) -> l4(1456308932) 
e(835339853) -> e(1456308932) 
ioe(835339853) -> ioe(1456308932) 
$r1(835339853) -> $r1(1456308932) 
$r2(835339853) -> $r2(1456308932) 
$r3(835339853) -> $r3(1456308932) 
$r4(835339853) -> $r4(1456308932) 
$r5(835339853) -> $r5(1456308932) 
in(835339853) -> in(1456308932) 
$r6(835339853) -> $r6(1456308932) 
$r7(835339853) -> $r7(1456308932) 
$r8(835339853) -> $r8(1456308932) 
$r9(835339853) -> $r9(1456308932) 
$r10(835339853) -> $r10(1456308932) 
0(1456308932) -> 0(1650162283) 
cacheFile(1456308932) -> cacheFile(1650162283) 
in(1456308932) -> in(1650162283) 
oin(1456308932) -> oin(1650162283) 
l3(1456308932) -> l3(1650162283) 
l4(1456308932) -> l4(1650162283) 
e(1456308932) -> e(1650162283) 
ioe(1456308932) -> ioe(1650162283) 
$r1(1456308932) -> $r1(1650162283) 
$r2(1456308932) -> $r2(1650162283) 
$r3(1456308932) -> $r3(1650162283) 
$r4(1456308932) -> $r4(1650162283) 
$r5(1456308932) -> $r5(1650162283) 
in(1456308932) -> in(1650162283) 
$r6(1456308932) -> $r6(1650162283) 
$r7(1456308932) -> $r7(1650162283) 
$r8(1456308932) -> $r8(1650162283) 
$r9(1456308932) -> $r9(1650162283) 
$r10(1456308932) -> $r10(1650162283) 
0(1650162283) -> 0(1681689155) 
cacheFile(1650162283) -> cacheFile(1681689155) 
$r0(1650162283) -> $r0(1681689155) 
in(1650162283) -> in(1681689155) 
oin(1650162283) -> oin(1681689155) 
l3(1650162283) -> l3(1681689155) 
l4(1650162283) -> l4(1681689155) 
e(1650162283) -> e(1681689155) 
ioe(1650162283) -> ioe(1681689155) 
$r1(1650162283) -> $r1(1681689155) 
$r2(1650162283) -> $r2(1681689155) 
$r3(1650162283) -> $r3(1681689155) 
$r4(1650162283) -> $r4(1681689155) 
$r5(1650162283) -> $r5(1681689155) 
in(1650162283) -> in(1681689155) 
$r6(1650162283) -> $r6(1681689155) 
$r7(1650162283) -> $r7(1681689155) 
$r8(1650162283) -> $r8(1681689155) 
$r9(1650162283) -> $r9(1681689155) 
$r10(1650162283) -> $r10(1681689155) 
0(1681689155) -> 0(-1681689155) 
cacheFile(1681689155) -> cacheFile(-1681689155) 
in(1681689155) -> in(-1681689155) 
oin(1681689155) -> oin(-1681689155) 
l3(1681689155) -> l3(-1681689155) 
l4(1681689155) -> l4(-1681689155) 
e(1681689155) -> e(-1681689155) 
ioe(1681689155) -> ioe(-1681689155) 
$r1(1681689155) -> $r1(-1681689155) 
$r2(1681689155) -> $r2(-1681689155) 
$r3(1681689155) -> $r3(-1681689155) 
$r4(1681689155) -> $r4(-1681689155) 
$r5(1681689155) -> $r5(-1681689155) 
in(1681689155) -> in(-1681689155) 
$r6(1681689155) -> $r6(-1681689155) 
$r7(1681689155) -> $r7(-1681689155) 
$r8(1681689155) -> $r8(-1681689155) 
$r9(1681689155) -> $r9(-1681689155) 
$r10(1681689155) -> $r10(-1681689155) 
0(-1681689155) -> 0(1703062458) 
cacheFile(-1681689155) -> cacheFile(1703062458) 
$r0(-1681689155) -> $r0(1703062458) 
in(-1681689155) -> in(1703062458) 
oin(-1681689155) -> oin(1703062458) 
l3(-1681689155) -> l3(1703062458) 
l4(-1681689155) -> l4(1703062458) 
e(-1681689155) -> e(1703062458) 
ioe(-1681689155) -> ioe(1703062458) 
$r1(-1681689155) -> $r1(1703062458) 
$r2(-1681689155) -> $r2(1703062458) 
$r3(-1681689155) -> $r3(1703062458) 
$r4(-1681689155) -> $r4(1703062458) 
$r5(-1681689155) -> $r5(1703062458) 
in(-1681689155) -> in(1703062458) 
$r6(-1681689155) -> $r6(1703062458) 
$r7(-1681689155) -> $r7(1703062458) 
$r8(-1681689155) -> $r8(1703062458) 
$r9(-1681689155) -> $r9(1703062458) 
$r10(-1681689155) -> $r10(1703062458) 
0(1703062458) -> 0(-1703062458) 
cacheFile(1703062458) -> cacheFile(-1703062458) 
$r0(1703062458) -> $r0(-1703062458) 
in(1703062458) -> in(-1703062458) 
oin(1703062458) -> oin(-1703062458) 
l3(1703062458) -> l3(-1703062458) 
l4(1703062458) -> l4(-1703062458) 
e(1703062458) -> e(-1703062458) 
ioe(1703062458) -> ioe(-1703062458) 
$r1(1703062458) -> $r1(-1703062458) 
$r3(1703062458) -> $r3(-1703062458) 
$r4(1703062458) -> $r4(-1703062458) 
$r5(1703062458) -> $r5(-1703062458) 
in(1703062458) -> in(-1703062458) 
$r6(1703062458) -> $r6(-1703062458) 
$r7(1703062458) -> $r7(-1703062458) 
$r8(1703062458) -> $r8(-1703062458) 
$r9(1703062458) -> $r9(-1703062458) 
$r10(1703062458) -> $r10(-1703062458) 
0(-1703062458) -> 0(1708684390) 
cacheFile(-1703062458) -> cacheFile(1708684390) 
$r0(-1703062458) -> $r0(1708684390) 
in(-1703062458) -> in(1708684390) 
oin(-1703062458) -> oin(1708684390) 
l3(-1703062458) -> l3(1708684390) 
l4(-1703062458) -> l4(1708684390) 
e(-1703062458) -> e(1708684390) 
ioe(-1703062458) -> ioe(1708684390) 
$r1(-1703062458) -> $r1(1708684390) 
$r2(-1703062458) -> $r2(1708684390) 
$r3(-1703062458) -> $r3(1708684390) 
$r4(-1703062458) -> $r4(1708684390) 
$r5(-1703062458) -> $r5(1708684390) 
in(-1703062458) -> in(1708684390) 
$r6(-1703062458) -> $r6(1708684390) 
$r7(-1703062458) -> $r7(1708684390) 
$r8(-1703062458) -> $r8(1708684390) 
$r9(-1703062458) -> $r9(1708684390) 
$r10(-1703062458) -> $r10(1708684390) 
0(1708684390) -> 0(-1708684390) 
cacheFile(1708684390) -> cacheFile(-1708684390) 
in(1708684390) -> in(-1708684390) 
oin(1708684390) -> oin(-1708684390) 
l3(1708684390) -> l3(-1708684390) 
l4(1708684390) -> l4(-1708684390) 
e(1708684390) -> e(-1708684390) 
ioe(1708684390) -> ioe(-1708684390) 
$r1(1708684390) -> $r1(-1708684390) 
$r2(1708684390) -> $r2(-1708684390) 
$r3(1708684390) -> $r3(-1708684390) 
$r4(1708684390) -> $r4(-1708684390) 
$r5(1708684390) -> $r5(-1708684390) 
in(1708684390) -> in(-1708684390) 
$r6(1708684390) -> $r6(-1708684390) 
$r7(1708684390) -> $r7(-1708684390) 
$r8(1708684390) -> $r8(-1708684390) 
$r9(1708684390) -> $r9(-1708684390) 
$r10(1708684390) -> $r10(-1708684390) 
0(-1708684390) -> 0(1707215046) 
cacheFile(-1708684390) -> cacheFile(1707215046) 
$r0(-1708684390) -> $r0(1707215046) 
in(-1708684390) -> in(1707215046) 
oin(-1708684390) -> oin(1707215046) 
l3(-1708684390) -> l3(1707215046) 
l4(-1708684390) -> l4(1707215046) 
e(-1708684390) -> e(1707215046) 
ioe(-1708684390) -> ioe(1707215046) 
$r1(-1708684390) -> $r1(1707215046) 
$r2(-1708684390) -> $r2(1707215046) 
$r3(-1708684390) -> $r3(1707215046) 
$r4(-1708684390) -> $r4(1707215046) 
$r5(-1708684390) -> $r5(1707215046) 
in(-1708684390) -> in(1707215046) 
$r6(-1708684390) -> $r6(1707215046) 
$r7(-1708684390) -> $r7(1707215046) 
$r8(-1708684390) -> $r8(1707215046) 
$r9(-1708684390) -> $r9(1707215046) 
$r10(-1708684390) -> $r10(1707215046) 
0(1707215046) -> 0(-1707215046) 
cacheFile(1707215046) -> cacheFile(-1707215046) 
$r0(1707215046) -> $r0(-1707215046) 
in(1707215046) -> in(-1707215046) 
oin(1707215046) -> oin(-1707215046) 
l3(1707215046) -> l3(-1707215046) 
l4(1707215046) -> l4(-1707215046) 
e(1707215046) -> e(-1707215046) 
ioe(1707215046) -> ioe(-1707215046) 
$r1(1707215046) -> $r1(-1707215046) 
$r2(1707215046) -> $r2(-1707215046) 
$r4(1707215046) -> $r4(-1707215046) 
$r5(1707215046) -> $r5(-1707215046) 
in(1707215046) -> in(-1707215046) 
$r6(1707215046) -> $r6(-1707215046) 
$r7(1707215046) -> $r7(-1707215046) 
$r8(1707215046) -> $r8(-1707215046) 
$r9(1707215046) -> $r9(-1707215046) 
$r10(1707215046) -> $r10(-1707215046) 
0(-1707215046) -> 0(634270555) 
cacheFile(-1707215046) -> cacheFile(634270555) 
$r0(-1707215046) -> $r0(634270555) 
in(-1707215046) -> in(634270555) 
oin(-1707215046) -> oin(634270555) 
l3(-1707215046) -> l3(634270555) 
l4(-1707215046) -> l4(634270555) 
e(-1707215046) -> e(634270555) 
ioe(-1707215046) -> ioe(634270555) 
$r1(-1707215046) -> $r1(634270555) 
$r2(-1707215046) -> $r2(634270555) 
$r3(-1707215046) -> $r3(634270555) 
$r4(-1707215046) -> $r4(634270555) 
$r5(-1707215046) -> $r5(634270555) 
in(-1707215046) -> in(634270555) 
$r6(-1707215046) -> $r6(634270555) 
$r7(-1707215046) -> $r7(634270555) 
$r8(-1707215046) -> $r8(634270555) 
$r9(-1707215046) -> $r9(634270555) 
$r10(-1707215046) -> $r10(634270555) 
0(634270555) -> 0(76394177) 
cacheFile(634270555) -> cacheFile(76394177) 
$r0(634270555) -> $r0(76394177) 
in(634270555) -> in(76394177) 
oin(634270555) -> oin(76394177) 
l3(634270555) -> l3(76394177) 
l4(634270555) -> l4(76394177) 
e(634270555) -> e(76394177) 
ioe(634270555) -> ioe(76394177) 
$r1(634270555) -> $r1(76394177) 
$r2(634270555) -> $r2(76394177) 
$r3(634270555) -> $r3(76394177) 
$r4(634270555) -> $r4(76394177) 
$r5(634270555) -> $r5(76394177) 
in(634270555) -> in(76394177) 
$r6(634270555) -> $r6(76394177) 
$r7(634270555) -> $r7(76394177) 
$r8(634270555) -> $r8(76394177) 
$r9(634270555) -> $r9(76394177) 
$r10(634270555) -> $r10(76394177) 
0(76394177) -> 0(701326561) 
cacheFile(76394177) -> cacheFile(701326561) 
$r0(76394177) -> $r0(701326561) 
in(76394177) -> in(701326561) 
oin(76394177) -> oin(701326561) 
l3(76394177) -> l3(701326561) 
l4(76394177) -> l4(701326561) 
e(76394177) -> e(701326561) 
ioe(76394177) -> ioe(701326561) 
$r1(76394177) -> $r1(701326561) 
$r2(76394177) -> $r2(701326561) 
$r3(76394177) -> $r3(701326561) 
$r4(76394177) -> $r4(701326561) 
$r5(76394177) -> $r5(701326561) 
in(76394177) -> in(701326561) 
$r6(76394177) -> $r6(701326561) 
$r7(76394177) -> $r7(701326561) 
$r8(76394177) -> $r8(701326561) 
$r9(76394177) -> $r9(701326561) 
$r10(76394177) -> $r10(701326561) 
0(1909195580) -> 0(149459586) 
cacheFile(1909195580) -> cacheFile(149459586) 
$r0(1909195580) -> $r0(149459586) 
in(1909195580) -> in(149459586) 
oin(1909195580) -> oin(149459586) 
l3(1909195580) -> l3(149459586) 
l4(1909195580) -> l4(149459586) 
e(1909195580) -> e(149459586) 
$r1(1909195580) -> $r1(149459586) 
$r2(1909195580) -> $r2(149459586) 
$r3(1909195580) -> $r3(149459586) 
$r4(1909195580) -> $r4(149459586) 
$r5(1909195580) -> $r5(149459586) 
in(1909195580) -> in(149459586) 
$r6(1909195580) -> $r6(149459586) 
$r7(1909195580) -> $r7(149459586) 
$r8(1909195580) -> $r8(149459586) 
$r9(1909195580) -> $r9(149459586) 
$r10(1909195580) -> ioe(149459586) 
$r10(1909195580) -> $r10(149459586) 
0(149459586) -> 0(1558878559) 
cacheFile(149459586) -> cacheFile(1558878559) 
$r0(149459586) -> $r0(1558878559) 
in(149459586) -> in(1558878559) 
oin(149459586) -> oin(1558878559) 
l3(149459586) -> l3(1558878559) 
l4(149459586) -> l4(1558878559) 
e(149459586) -> e(1558878559) 
ioe(149459586) -> ioe(1558878559) 
$r1(149459586) -> $r1(1558878559) 
$r2(149459586) -> $r2(1558878559) 
$r3(149459586) -> $r3(1558878559) 
$r4(149459586) -> $r4(1558878559) 
$r5(149459586) -> $r5(1558878559) 
in(149459586) -> in(1558878559) 
$r6(149459586) -> $r6(1558878559) 
$r7(149459586) -> $r7(1558878559) 
$r8(149459586) -> $r8(1558878559) 
$r9(149459586) -> $r9(1558878559) 
$r10(149459586) -> $r10(1558878559) 
0(1558878559) -> 0(1362935452) 
cacheFile(1558878559) -> cacheFile(1362935452) 
in(1558878559) -> in(1362935452) 
oin(1558878559) -> oin(1362935452) 
l3(1558878559) -> l3(1362935452) 
l4(1558878559) -> l4(1362935452) 
e(1558878559) -> e(1362935452) 
ioe(1558878559) -> ioe(1362935452) 
$r1(1558878559) -> $r1(1362935452) 
$r2(1558878559) -> $r2(1362935452) 
$r3(1558878559) -> $r3(1362935452) 
$r4(1558878559) -> $r4(1362935452) 
$r5(1558878559) -> $r5(1362935452) 
in(1558878559) -> in(1362935452) 
$r6(1558878559) -> $r6(1362935452) 
$r7(1558878559) -> $r7(1362935452) 
$r8(1558878559) -> $r8(1362935452) 
$r9(1558878559) -> $r9(1362935452) 
$r10(1558878559) -> $r10(1362935452) 
0(1362935452) -> 0(1584813990) 
cacheFile(1362935452) -> cacheFile(1584813990) 
$r0(1362935452) -> $r0(1584813990) 
in(1362935452) -> in(1584813990) 
oin(1362935452) -> oin(1584813990) 
l3(1362935452) -> l3(1584813990) 
l4(1362935452) -> l4(1584813990) 
e(1362935452) -> e(1584813990) 
ioe(1362935452) -> ioe(1584813990) 
$r1(1362935452) -> $r1(1584813990) 
$r2(1362935452) -> $r2(1584813990) 
$r3(1362935452) -> $r3(1584813990) 
$r4(1362935452) -> $r4(1584813990) 
$r5(1362935452) -> $r5(1584813990) 
in(1362935452) -> in(1584813990) 
$r6(1362935452) -> $r6(1584813990) 
$r7(1362935452) -> $r7(1584813990) 
$r8(1362935452) -> $r8(1584813990) 
$r9(1362935452) -> $r9(1584813990) 
$r10(1362935452) -> $r10(1584813990) 
0(1584813990) -> 0(-1584813990) 
cacheFile(1584813990) -> cacheFile(-1584813990) 
in(1584813990) -> in(-1584813990) 
oin(1584813990) -> oin(-1584813990) 
l3(1584813990) -> l3(-1584813990) 
l4(1584813990) -> l4(-1584813990) 
e(1584813990) -> e(-1584813990) 
ioe(1584813990) -> ioe(-1584813990) 
$r1(1584813990) -> $r1(-1584813990) 
$r2(1584813990) -> $r2(-1584813990) 
$r3(1584813990) -> $r3(-1584813990) 
$r4(1584813990) -> $r4(-1584813990) 
$r5(1584813990) -> $r5(-1584813990) 
in(1584813990) -> in(-1584813990) 
$r6(1584813990) -> $r6(-1584813990) 
$r7(1584813990) -> $r7(-1584813990) 
$r8(1584813990) -> $r8(-1584813990) 
$r9(1584813990) -> $r9(-1584813990) 
$r10(1584813990) -> $r10(-1584813990) 
0(-1584813990) -> 0(1853162388) 
cacheFile(-1584813990) -> cacheFile(1853162388) 
$r0(-1584813990) -> $r0(1853162388) 
in(-1584813990) -> in(1853162388) 
oin(-1584813990) -> oin(1853162388) 
l3(-1584813990) -> l3(1853162388) 
l4(-1584813990) -> l4(1853162388) 
e(-1584813990) -> e(1853162388) 
ioe(-1584813990) -> ioe(1853162388) 
$r1(-1584813990) -> $r1(1853162388) 
$r2(-1584813990) -> $r2(1853162388) 
$r3(-1584813990) -> $r3(1853162388) 
$r4(-1584813990) -> $r4(1853162388) 
$r5(-1584813990) -> $r5(1853162388) 
in(-1584813990) -> in(1853162388) 
$r6(-1584813990) -> $r6(1853162388) 
$r7(-1584813990) -> $r7(1853162388) 
$r8(-1584813990) -> $r8(1853162388) 
$r9(-1584813990) -> $r9(1853162388) 
$r10(-1584813990) -> $r10(1853162388) 
0(1853162388) -> 0(-1853162388) 
cacheFile(1853162388) -> cacheFile(-1853162388) 
$r0(1853162388) -> $r0(-1853162388) 
in(1853162388) -> in(-1853162388) 
oin(1853162388) -> oin(-1853162388) 
l3(1853162388) -> l3(-1853162388) 
l4(1853162388) -> l4(-1853162388) 
e(1853162388) -> e(-1853162388) 
ioe(1853162388) -> ioe(-1853162388) 
$r1(1853162388) -> $r1(-1853162388) 
$r3(1853162388) -> $r3(-1853162388) 
$r4(1853162388) -> $r4(-1853162388) 
$r5(1853162388) -> $r5(-1853162388) 
in(1853162388) -> in(-1853162388) 
$r6(1853162388) -> $r6(-1853162388) 
$r7(1853162388) -> $r7(-1853162388) 
$r8(1853162388) -> $r8(-1853162388) 
$r9(1853162388) -> $r9(-1853162388) 
$r10(1853162388) -> $r10(-1853162388) 
0(-1853162388) -> 0(1144922675) 
cacheFile(-1853162388) -> cacheFile(1144922675) 
$r0(-1853162388) -> $r0(1144922675) 
in(-1853162388) -> in(1144922675) 
oin(-1853162388) -> oin(1144922675) 
l3(-1853162388) -> l3(1144922675) 
l4(-1853162388) -> l4(1144922675) 
e(-1853162388) -> e(1144922675) 
ioe(-1853162388) -> ioe(1144922675) 
$r1(-1853162388) -> $r1(1144922675) 
$r2(-1853162388) -> $r2(1144922675) 
$r3(-1853162388) -> $r3(1144922675) 
$r4(-1853162388) -> $r4(1144922675) 
$r5(-1853162388) -> $r5(1144922675) 
in(-1853162388) -> in(1144922675) 
$r6(-1853162388) -> $r6(1144922675) 
$r7(-1853162388) -> $r7(1144922675) 
$r8(-1853162388) -> $r8(1144922675) 
$r9(-1853162388) -> $r9(1144922675) 
$r10(-1853162388) -> $r10(1144922675) 
0(1144922675) -> 0(-1144922675) 
cacheFile(1144922675) -> cacheFile(-1144922675) 
in(1144922675) -> in(-1144922675) 
oin(1144922675) -> oin(-1144922675) 
l3(1144922675) -> l3(-1144922675) 
l4(1144922675) -> l4(-1144922675) 
e(1144922675) -> e(-1144922675) 
ioe(1144922675) -> ioe(-1144922675) 
$r1(1144922675) -> $r1(-1144922675) 
$r2(1144922675) -> $r2(-1144922675) 
$r3(1144922675) -> $r3(-1144922675) 
$r4(1144922675) -> $r4(-1144922675) 
$r5(1144922675) -> $r5(-1144922675) 
in(1144922675) -> in(-1144922675) 
$r6(1144922675) -> $r6(-1144922675) 
$r7(1144922675) -> $r7(-1144922675) 
$r8(1144922675) -> $r8(-1144922675) 
$r9(1144922675) -> $r9(-1144922675) 
$r10(1144922675) -> $r10(-1144922675) 
0(-1144922675) -> 0(567917463) 
cacheFile(-1144922675) -> cacheFile(567917463) 
$r0(-1144922675) -> $r0(567917463) 
in(-1144922675) -> in(567917463) 
oin(-1144922675) -> oin(567917463) 
l3(-1144922675) -> l3(567917463) 
l4(-1144922675) -> l4(567917463) 
e(-1144922675) -> e(567917463) 
ioe(-1144922675) -> ioe(567917463) 
$r1(-1144922675) -> $r1(567917463) 
$r2(-1144922675) -> $r2(567917463) 
$r3(-1144922675) -> $r3(567917463) 
$r4(-1144922675) -> $r4(567917463) 
$r5(-1144922675) -> $r5(567917463) 
in(-1144922675) -> in(567917463) 
$r6(-1144922675) -> $r6(567917463) 
$r7(-1144922675) -> $r7(567917463) 
$r8(-1144922675) -> $r8(567917463) 
$r9(-1144922675) -> $r9(567917463) 
$r10(-1144922675) -> $r10(567917463) 
0(567917463) -> 0(-567917463) 
cacheFile(567917463) -> cacheFile(-567917463) 
in(567917463) -> in(-567917463) 
oin(567917463) -> oin(-567917463) 
l3(567917463) -> l3(-567917463) 
l4(567917463) -> l4(-567917463) 
e(567917463) -> e(-567917463) 
ioe(567917463) -> ioe(-567917463) 
$r1(567917463) -> $r1(-567917463) 
$r2(567917463) -> $r2(-567917463) 
$r3(567917463) -> $r3(-567917463) 
$r4(567917463) -> $r4(-567917463) 
$r5(567917463) -> $r5(-567917463) 
in(567917463) -> in(-567917463) 
$r6(567917463) -> $r6(-567917463) 
$r7(567917463) -> $r7(-567917463) 
$r8(567917463) -> $r8(-567917463) 
$r9(567917463) -> $r9(-567917463) 
$r10(567917463) -> $r10(-567917463) 
0(-567917463) -> 0(1571473373) 
cacheFile(-567917463) -> cacheFile(1571473373) 
$r0(-567917463) -> $r0(1571473373) 
in(-567917463) -> in(1571473373) 
oin(-567917463) -> oin(1571473373) 
l3(-567917463) -> l3(1571473373) 
l4(-567917463) -> l4(1571473373) 
e(-567917463) -> e(1571473373) 
ioe(-567917463) -> ioe(1571473373) 
$r1(-567917463) -> $r1(1571473373) 
$r2(-567917463) -> $r2(1571473373) 
$r3(-567917463) -> $r3(1571473373) 
$r4(-567917463) -> $r4(1571473373) 
$r5(-567917463) -> $r5(1571473373) 
in(-567917463) -> in(1571473373) 
$r6(-567917463) -> $r6(1571473373) 
$r7(-567917463) -> $r7(1571473373) 
$r8(-567917463) -> $r8(1571473373) 
$r9(-567917463) -> $r9(1571473373) 
$r10(-567917463) -> $r10(1571473373) 
0(1571473373) -> 0(-1571473373) 
cacheFile(1571473373) -> cacheFile(-1571473373) 
$r0(1571473373) -> $r0(-1571473373) 
in(1571473373) -> in(-1571473373) 
oin(1571473373) -> oin(-1571473373) 
l3(1571473373) -> l3(-1571473373) 
l4(1571473373) -> l4(-1571473373) 
e(1571473373) -> e(-1571473373) 
ioe(1571473373) -> ioe(-1571473373) 
$r1(1571473373) -> $r1(-1571473373) 
$r2(1571473373) -> $r2(-1571473373) 
$r4(1571473373) -> $r4(-1571473373) 
$r5(1571473373) -> $r5(-1571473373) 
in(1571473373) -> in(-1571473373) 
$r6(1571473373) -> $r6(-1571473373) 
$r7(1571473373) -> $r7(-1571473373) 
$r8(1571473373) -> $r8(-1571473373) 
$r9(1571473373) -> $r9(-1571473373) 
$r10(1571473373) -> $r10(-1571473373) 
0(-1571473373) -> 0(1999089205) 
cacheFile(-1571473373) -> cacheFile(1999089205) 
$r0(-1571473373) -> $r0(1999089205) 
in(-1571473373) -> in(1999089205) 
oin(-1571473373) -> oin(1999089205) 
l3(-1571473373) -> l3(1999089205) 
l4(-1571473373) -> l4(1999089205) 
e(-1571473373) -> e(1999089205) 
ioe(-1571473373) -> ioe(1999089205) 
$r1(-1571473373) -> $r1(1999089205) 
$r2(-1571473373) -> $r2(1999089205) 
$r3(-1571473373) -> $r3(1999089205) 
$r4(-1571473373) -> $r4(1999089205) 
$r5(-1571473373) -> $r5(1999089205) 
in(-1571473373) -> in(1999089205) 
$r6(-1571473373) -> $r6(1999089205) 
$r7(-1571473373) -> $r7(1999089205) 
$r8(-1571473373) -> $r8(1999089205) 
$r9(-1571473373) -> $r9(1999089205) 
$r10(-1571473373) -> $r10(1999089205) 
0(1999089205) -> 0(701326561) 
cacheFile(1999089205) -> cacheFile(701326561) 
$r0(1999089205) -> $r0(701326561) 
in(1999089205) -> in(701326561) 
oin(1999089205) -> oin(701326561) 
l3(1999089205) -> l3(701326561) 
l4(1999089205) -> l4(701326561) 
e(1999089205) -> e(701326561) 
ioe(1999089205) -> ioe(701326561) 
$r1(1999089205) -> $r1(701326561) 
$r2(1999089205) -> $r2(701326561) 
$r3(1999089205) -> $r3(701326561) 
$r4(1999089205) -> $r4(701326561) 
$r5(1999089205) -> $r5(701326561) 
in(1999089205) -> in(701326561) 
$r6(1999089205) -> $r6(701326561) 
$r7(1999089205) -> $r7(701326561) 
$r8(1999089205) -> $r8(701326561) 
