method: org.apache.fop.fonts.FontCache.saveTo:1954352127
$r10(36340827) -> $r10(894923641) 
0(894923641) -> 0(209932091) 
this(894923641) -> this(209932091) 
cacheFile(894923641) -> cacheFile(209932091) 
l2(894923641) -> l2(209932091) 
out(894923641) -> out(209932091) 
oout(894923641) -> oout(209932091) 
l5(894923641) -> l5(209932091) 
ioe(894923641) -> ioe(209932091) 
l6(894923641) -> l6(209932091) 
$r0(894923641) -> $r0(209932091) 
$r1(894923641) -> $r1(209932091) 
$r2(894923641) -> $r2(209932091) 
$r3(894923641) -> $r3(209932091) 
$r4(894923641) -> $r4(209932091) 
$r5(894923641) -> $r5(209932091) 
$r6(894923641) -> $r6(209932091) 
out(894923641) -> out(209932091) 
$r8(894923641) -> $r8(209932091) 
$r9(894923641) -> $r9(209932091) 
$r10(894923641) -> $r10(209932091) 
0(209932091) -> 0(13021416) 
this(209932091) -> this(13021416) 
cacheFile(209932091) -> cacheFile(13021416) 
l2(209932091) -> l2(13021416) 
out(209932091) -> out(13021416) 
oout(209932091) -> oout(13021416) 
l5(209932091) -> l5(13021416) 
ioe(209932091) -> ioe(13021416) 
l6(209932091) -> l6(13021416) 
$r0(209932091) -> $r0(13021416) 
$r1(209932091) -> $r1(13021416) 
$r2(209932091) -> $r2(13021416) 
$r3(209932091) -> $r3(13021416) 
$r4(209932091) -> $r4(13021416) 
$r5(209932091) -> $r5(13021416) 
$r6(209932091) -> $r6(13021416) 
out(209932091) -> out(13021416) 
$r7(209932091) -> $r7(13021416) 
$r8(209932091) -> $r8(13021416) 
$r9(209932091) -> $r9(13021416) 
$r10(209932091) -> $r10(13021416) 
0(13021416) -> 0(498464371) 
this(13021416) -> this(498464371) 
cacheFile(13021416) -> cacheFile(498464371) 
l2(13021416) -> l2(498464371) 
out(13021416) -> out(498464371) 
l5(13021416) -> l5(498464371) 
ioe(13021416) -> ioe(498464371) 
l6(13021416) -> l6(498464371) 
$r0(13021416) -> $r0(498464371) 
$r1(13021416) -> $r1(498464371) 
$r2(13021416) -> $r2(498464371) 
$r3(13021416) -> $r3(498464371) 
$r4(13021416) -> $r4(498464371) 
$r5(13021416) -> $r5(498464371) 
$r6(13021416) -> $r6(498464371) 
out(13021416) -> out(498464371) 
$r7(13021416) -> oout(498464371) 
$r7(13021416) -> $r7(498464371) 
$r8(13021416) -> $r8(498464371) 
$r9(13021416) -> $r9(498464371) 
$r10(13021416) -> $r10(498464371) 
0(498464371) -> 0(1781369079) 
this(498464371) -> this(1781369079) 
cacheFile(498464371) -> cacheFile(1781369079) 
l2(498464371) -> l2(1781369079) 
out(498464371) -> out(1781369079) 
oout(498464371) -> oout(1781369079) 
l5(498464371) -> l5(1781369079) 
ioe(498464371) -> ioe(1781369079) 
l6(498464371) -> l6(1781369079) 
$r0(498464371) -> $r0(1781369079) 
$r1(498464371) -> $r1(1781369079) 
$r2(498464371) -> $r2(1781369079) 
$r3(498464371) -> $r3(1781369079) 
$r4(498464371) -> $r4(1781369079) 
$r5(498464371) -> $r5(1781369079) 
$r6(498464371) -> $r6(1781369079) 
out(498464371) -> out(1781369079) 
$r7(498464371) -> $r7(1781369079) 
$r8(498464371) -> $r8(1781369079) 
$r9(498464371) -> $r9(1781369079) 
$r10(498464371) -> $r10(1781369079) 
0(1781369079) -> 0(1400587926) 
this(1781369079) -> this(1400587926) 
cacheFile(1781369079) -> cacheFile(1400587926) 
l2(1781369079) -> l2(1400587926) 
out(1781369079) -> out(1400587926) 
oout(1781369079) -> oout(1400587926) 
l5(1781369079) -> l5(1400587926) 
ioe(1781369079) -> ioe(1400587926) 
l6(1781369079) -> l6(1400587926) 
$r0(1781369079) -> $r0(1400587926) 
$r1(1781369079) -> $r1(1400587926) 
$r2(1781369079) -> $r2(1400587926) 
$r3(1781369079) -> $r3(1400587926) 
$r4(1781369079) -> $r4(1400587926) 
$r5(1781369079) -> $r5(1400587926) 
$r6(1781369079) -> $r6(1400587926) 
out(1781369079) -> out(1400587926) 
$r7(1781369079) -> $r7(1400587926) 
$r8(1781369079) -> $r8(1400587926) 
$r9(1781369079) -> $r9(1400587926) 
$r10(1781369079) -> $r10(1400587926) 
0(1400587926) -> 0(1412845848) 
this(1400587926) -> this(1412845848) 
cacheFile(1400587926) -> cacheFile(1412845848) 
l2(1400587926) -> l2(1412845848) 
out(1400587926) -> out(1412845848) 
oout(1400587926) -> oout(1412845848) 
l5(1400587926) -> l5(1412845848) 
ioe(1400587926) -> ioe(1412845848) 
l6(1400587926) -> l6(1412845848) 
$r0(1400587926) -> $r0(1412845848) 
$r1(1400587926) -> $r1(1412845848) 
$r2(1400587926) -> $r2(1412845848) 
$r3(1400587926) -> $r3(1412845848) 
$r4(1400587926) -> $r4(1412845848) 
$r5(1400587926) -> $r5(1412845848) 
$r6(1400587926) -> $r6(1412845848) 
out(1400587926) -> out(1412845848) 
$r7(1400587926) -> $r7(1412845848) 
$r8(1400587926) -> $r8(1412845848) 
$r9(1400587926) -> $r9(1412845848) 
$r10(1400587926) -> $r10(1412845848) 
0(1113017515) -> 0(188341521) 
this(1113017515) -> this(188341521) 
cacheFile(1113017515) -> cacheFile(188341521) 
l2(1113017515) -> l2(188341521) 
out(1113017515) -> out(188341521) 
oout(1113017515) -> oout(188341521) 
ioe(1113017515) -> ioe(188341521) 
l6(1113017515) -> l6(188341521) 
$r0(1113017515) -> $r0(188341521) 
$r1(1113017515) -> $r1(188341521) 
$r2(1113017515) -> $r2(188341521) 
$r3(1113017515) -> $r3(188341521) 
$r4(1113017515) -> $r4(188341521) 
$r5(1113017515) -> $r5(188341521) 
$r6(1113017515) -> $r6(188341521) 
out(1113017515) -> out(188341521) 
$r7(1113017515) -> $r7(188341521) 
$r8(1113017515) -> l5(188341521) 
$r8(1113017515) -> $r8(188341521) 
$r9(1113017515) -> $r9(188341521) 
$r10(1113017515) -> $r10(188341521) 
0(188341521) -> 0(188677260) 
this(188341521) -> this(188677260) 
cacheFile(188341521) -> cacheFile(188677260) 
l2(188341521) -> l2(188677260) 
out(188341521) -> out(188677260) 
oout(188341521) -> oout(188677260) 
l5(188341521) -> l5(188677260) 
ioe(188341521) -> ioe(188677260) 
l6(188341521) -> l6(188677260) 
$r0(188341521) -> $r0(188677260) 
$r1(188341521) -> $r1(188677260) 
$r2(188341521) -> $r2(188677260) 
$r3(188341521) -> $r3(188677260) 
$r4(188341521) -> $r4(188677260) 
$r5(188341521) -> $r5(188677260) 
$r6(188341521) -> $r6(188677260) 
out(188341521) -> out(188677260) 
$r7(188341521) -> $r7(188677260) 
$r8(188341521) -> $r8(188677260) 
$r9(188341521) -> $r9(188677260) 
$r10(188341521) -> $r10(188677260) 
0(1412845848) -> 0(1247902732) 
this(1412845848) -> this(1247902732) 
cacheFile(1412845848) -> cacheFile(1247902732) 
l2(1412845848) -> l2(1247902732) 
out(1412845848) -> out(1247902732) 
oout(1412845848) -> oout(1247902732) 
l5(1412845848) -> l5(1247902732) 
ioe(1412845848) -> ioe(1247902732) 
l6(1412845848) -> l6(1247902732) 
$r0(1412845848) -> $r0(1247902732) 
$r1(1412845848) -> $r1(1247902732) 
$r2(1412845848) -> $r2(1247902732) 
$r3(1412845848) -> $r3(1247902732) 
$r4(1412845848) -> $r4(1247902732) 
$r5(1412845848) -> $r5(1247902732) 
$r6(1412845848) -> $r6(1247902732) 
out(1412845848) -> out(1247902732) 
$r7(1412845848) -> $r7(1247902732) 
$r8(1412845848) -> $r8(1247902732) 
$r9(1412845848) -> $r9(1247902732) 
$r10(1412845848) -> $r10(1247902732) 
0(973482457) -> 0(1789231953) 
this(973482457) -> this(1789231953) 
cacheFile(973482457) -> cacheFile(1789231953) 
l2(973482457) -> l2(1789231953) 
out(973482457) -> out(1789231953) 
oout(973482457) -> oout(1789231953) 
l5(973482457) -> l5(1789231953) 
l6(973482457) -> l6(1789231953) 
$r0(973482457) -> $r0(1789231953) 
$r1(973482457) -> $r1(1789231953) 
$r2(973482457) -> $r2(1789231953) 
$r3(973482457) -> $r3(1789231953) 
$r4(973482457) -> $r4(1789231953) 
$r5(973482457) -> $r5(1789231953) 
$r6(973482457) -> $r6(1789231953) 
out(973482457) -> out(1789231953) 
$r7(973482457) -> $r7(1789231953) 
$r8(973482457) -> $r8(1789231953) 
$r9(973482457) -> ioe(1789231953) 
$r9(973482457) -> $r9(1789231953) 
$r10(973482457) -> $r10(1789231953) 
0(1789231953) -> 0(704833227) 
this(1789231953) -> this(704833227) 
cacheFile(1789231953) -> cacheFile(704833227) 
l2(1789231953) -> l2(704833227) 
out(1789231953) -> out(704833227) 
oout(1789231953) -> oout(704833227) 
l5(1789231953) -> l5(704833227) 
ioe(1789231953) -> ioe(704833227) 
l6(1789231953) -> l6(704833227) 
$r0(1789231953) -> $r0(704833227) 
$r1(1789231953) -> $r1(704833227) 
$r2(1789231953) -> $r2(704833227) 
$r3(1789231953) -> $r3(704833227) 
$r4(1789231953) -> $r4(704833227) 
$r5(1789231953) -> $r5(704833227) 
$r6(1789231953) -> $r6(704833227) 
out(1789231953) -> out(704833227) 
$r7(1789231953) -> $r7(704833227) 
$r8(1789231953) -> $r8(704833227) 
$r9(1789231953) -> $r9(704833227) 
$r10(1789231953) -> $r10(704833227) 
0(704833227) -> 0(1247902732) 
this(704833227) -> this(1247902732) 
cacheFile(704833227) -> cacheFile(1247902732) 
l2(704833227) -> l2(1247902732) 
out(704833227) -> out(1247902732) 
oout(704833227) -> oout(1247902732) 
l5(704833227) -> l5(1247902732) 
ioe(704833227) -> ioe(1247902732) 
l6(704833227) -> l6(1247902732) 
$r0(704833227) -> $r0(1247902732) 
$r1(704833227) -> $r1(1247902732) 
$r2(704833227) -> $r2(1247902732) 
$r3(704833227) -> $r3(1247902732) 
$r4(704833227) -> $r4(1247902732) 
$r5(704833227) -> $r5(1247902732) 
$r6(704833227) -> $r6(1247902732) 
out(704833227) -> out(1247902732) 
$r7(704833227) -> $r7(1247902732) 
$r8(704833227) -> $r8(1247902732) 
$r9(704833227) -> $r9(1247902732) 
$r10(704833227) -> $r10(1247902732) 
0(1247902732) -> 0(1175920122) 
this(1247902732) -> this(1175920122) 
cacheFile(1247902732) -> cacheFile(1175920122) 
l2(1247902732) -> l2(1175920122) 
out(1247902732) -> out(1175920122) 
oout(1247902732) -> oout(1175920122) 
l5(1247902732) -> l5(1175920122) 
ioe(1247902732) -> ioe(1175920122) 
l6(1247902732) -> l6(1175920122) 
$r0(1247902732) -> $r0(1175920122) 
$r1(1247902732) -> $r1(1175920122) 
$r2(1247902732) -> $r2(1175920122) 
$r3(1247902732) -> $r3(1175920122) 
$r4(1247902732) -> $r4(1175920122) 
$r5(1247902732) -> $r5(1175920122) 
$r6(1247902732) -> $r6(1175920122) 
out(1247902732) -> out(1175920122) 
$r7(1247902732) -> $r7(1175920122) 
$r8(1247902732) -> $r8(1175920122) 
$r9(1247902732) -> $r9(1175920122) 
$r10(1247902732) -> $r10(1175920122) 
0(1175920122) -> 0(1891766021) 
this(1175920122) -> this(1891766021) 
cacheFile(1175920122) -> cacheFile(1891766021) 
l2(1175920122) -> l2(1891766021) 
out(1175920122) -> out(1891766021) 
oout(1175920122) -> oout(1891766021) 
l5(1175920122) -> l5(1891766021) 
ioe(1175920122) -> ioe(1891766021) 
l6(1175920122) -> l6(1891766021) 
$r0(1175920122) -> $r0(1891766021) 
$r1(1175920122) -> $r1(1891766021) 
$r2(1175920122) -> $r2(1891766021) 
$r3(1175920122) -> $r3(1891766021) 
$r4(1175920122) -> $r4(1891766021) 
$r5(1175920122) -> $r5(1891766021) 
$r6(1175920122) -> $r6(1891766021) 
out(1175920122) -> out(1891766021) 
$r7(1175920122) -> $r7(1891766021) 
$r8(1175920122) -> $r8(1891766021) 
$r9(1175920122) -> $r9(1891766021) 
$r10(1175920122) -> $r10(1891766021) 
0(1891766021) -> 0(186269683) 
this(1891766021) -> this(186269683) 
cacheFile(1891766021) -> cacheFile(186269683) 
l2(1891766021) -> l2(186269683) 
out(1891766021) -> out(186269683) 
oout(1891766021) -> oout(186269683) 
l5(1891766021) -> l5(186269683) 
ioe(1891766021) -> ioe(186269683) 
l6(1891766021) -> l6(186269683) 
$r0(1891766021) -> $r0(186269683) 
$r1(1891766021) -> $r1(186269683) 
$r2(1891766021) -> $r2(186269683) 
$r3(1891766021) -> $r3(186269683) 
$r4(1891766021) -> $r4(186269683) 
$r5(1891766021) -> $r5(186269683) 
$r6(1891766021) -> $r6(186269683) 
out(1891766021) -> out(186269683) 
$r7(1891766021) -> $r7(186269683) 
$r8(1891766021) -> $r8(186269683) 
$r9(1891766021) -> $r9(186269683) 
$r10(1891766021) -> $r10(186269683) 
0(186269683) -> 0(-1954352127) 
this(186269683) -> this(-1954352127) 
cacheFile(186269683) -> cacheFile(-1954352127) 
l2(186269683) -> l2(-1954352127) 
out(186269683) -> out(-1954352127) 
oout(186269683) -> oout(-1954352127) 
l5(186269683) -> l5(-1954352127) 
ioe(186269683) -> ioe(-1954352127) 
l6(186269683) -> l6(-1954352127) 
$r0(186269683) -> $r0(-1954352127) 
$r1(186269683) -> $r1(-1954352127) 
$r2(186269683) -> $r2(-1954352127) 
$r3(186269683) -> $r3(-1954352127) 
$r4(186269683) -> $r4(-1954352127) 
$r5(186269683) -> $r5(-1954352127) 
$r6(186269683) -> $r6(-1954352127) 
out(186269683) -> out(-1954352127) 
$r7(186269683) -> $r7(-1954352127) 
$r8(186269683) -> $r8(-1954352127) 
$r9(186269683) -> $r9(-1954352127) 
$r10(186269683) -> $r10(-1954352127) 
0(1750888502) -> 0(1608742257) 
this(1750888502) -> this(1608742257) 
cacheFile(1750888502) -> cacheFile(1608742257) 
l2(1750888502) -> l2(1608742257) 
out(1750888502) -> out(1608742257) 
oout(1750888502) -> oout(1608742257) 
l5(1750888502) -> l5(1608742257) 
ioe(1750888502) -> ioe(1608742257) 
l6(1750888502) -> l6(1608742257) 
$r0(1750888502) -> $r0(1608742257) 
$r1(1750888502) -> $r1(1608742257) 
$r2(1750888502) -> $r2(1608742257) 
$r3(1750888502) -> $r3(1608742257) 
$r4(1750888502) -> $r4(1608742257) 
$r5(1750888502) -> $r5(1608742257) 
$r6(1750888502) -> $r6(1608742257) 
out(1750888502) -> out(1608742257) 
$r7(1750888502) -> $r7(1608742257) 
$r8(1750888502) -> $r8(1608742257) 
$r9(1750888502) -> $r9(1608742257) 
$r10(1750888502) -> $r10(1608742257) 
0(214638273) -> 0(1463057156) 
this(214638273) -> this(1463057156) 
cacheFile(214638273) -> cacheFile(1463057156) 
l2(214638273) -> l2(1463057156) 
out(214638273) -> out(1463057156) 
oout(214638273) -> oout(1463057156) 
l5(214638273) -> l5(1463057156) 
ioe(214638273) -> ioe(1463057156) 
$r0(214638273) -> $r0(1463057156) 
$r1(214638273) -> $r1(1463057156) 
$r2(214638273) -> $r2(1463057156) 
$r3(214638273) -> $r3(1463057156) 
$r4(214638273) -> $r4(1463057156) 
$r5(214638273) -> $r5(1463057156) 
$r6(214638273) -> $r6(1463057156) 
out(214638273) -> out(1463057156) 
$r7(214638273) -> $r7(1463057156) 
$r8(214638273) -> $r8(1463057156) 
$r9(214638273) -> $r9(1463057156) 
$r10(214638273) -> l6(1463057156) 
$r10(214638273) -> $r10(1463057156) 
0(1463057156) -> 0(-1954352127) 
this(1463057156) -> this(-1954352127) 
cacheFile(1463057156) -> cacheFile(-1954352127) 
l2(1463057156) -> l2(-1954352127) 
out(1463057156) -> out(-1954352127) 
oout(1463057156) -> oout(-1954352127) 
l5(1463057156) -> l5(-1954352127) 
ioe(1463057156) -> ioe(-1954352127) 
l6(1463057156) -> l6(-1954352127) 
$r0(1463057156) -> $r0(-1954352127) 
$r1(1463057156) -> $r1(-1954352127) 
$r2(1463057156) -> $r2(-1954352127) 
$r3(1463057156) -> $r3(-1954352127) 
$r4(1463057156) -> $r4(-1954352127) 
$r5(1463057156) -> $r5(-1954352127) 
$r6(1463057156) -> $r6(-1954352127) 
out(1463057156) -> out(-1954352127) 
$r7(1463057156) -> $r7(-1954352127) 
$r8(1463057156) -> $r8(-1954352127) 
$r9(1463057156) -> $r9(-1954352127) 
$r10(1463057156) -> $r10(-1954352127) 
0(1608742257) -> 0(-1954352127) 
this(1608742257) -> this(-1954352127) 
cacheFile(1608742257) -> cacheFile(-1954352127) 
l2(1608742257) -> l2(-1954352127) 
out(1608742257) -> out(-1954352127) 
oout(1608742257) -> oout(-1954352127) 
l5(1608742257) -> l5(-1954352127) 
ioe(1608742257) -> ioe(-1954352127) 
l6(1608742257) -> l6(-1954352127) 
$r0(1608742257) -> $r0(-1954352127) 
$r1(1608742257) -> $r1(-1954352127) 
$r2(1608742257) -> $r2(-1954352127) 
$r3(1608742257) -> $r3(-1954352127) 
$r4(1608742257) -> $r4(-1954352127) 
$r5(1608742257) -> $r5(-1954352127) 
$r6(1608742257) -> $r6(-1954352127) 
out(1608742257) -> out(-1954352127) 
$r7(1608742257) -> $r7(-1954352127) 
$r8(1608742257) -> $r8(-1954352127) 
$r9(1608742257) -> $r9(-1954352127) 
$r10(1608742257) -> $r10(-1954352127) 
0(1608742257) -> .return(-1954352127) 
