method: org.apache.fop.util.ColorUtil.colorToString:742130935
$r1(1997257554) -> $r1(131370877) 
$r2(1997257554) -> $r2(131370877) 
$r3(1997257554) -> $r3(131370877) 
$r4(1997257554) -> $r4(131370877) 
0(1997257554) -> 0(1637548747) 
color(1997257554) -> color(1637548747) 
cs(1997257554) -> cs(1637548747) 
sbuf(1997257554) -> sbuf(1637548747) 
cmyk(1997257554) -> cmyk(1637548747) 
s(1997257554) -> s(1637548747) 
$r0(1997257554) -> $r0(1637548747) 
$r1(1997257554) -> $r1(1637548747) 
$r2(1997257554) -> $r2(1637548747) 
$r3(1997257554) -> $r3(1637548747) 
$r4(1997257554) -> $r4(1637548747) 
0(1637548747) -> 0(131370877) 
color(1637548747) -> color(131370877) 
cs(1637548747) -> cs(131370877) 
sbuf(1637548747) -> sbuf(131370877) 
cmyk(1637548747) -> cmyk(131370877) 
s(1637548747) -> s(131370877) 
$r0(1637548747) -> $r0(131370877) 
$r1(1637548747) -> $r1(131370877) 
$r2(1637548747) -> $r2(131370877) 
$r3(1637548747) -> $r3(131370877) 
$r4(1637548747) -> $r4(131370877) 
0(131370877) -> 0(188879577) 
color(131370877) -> color(188879577) 
cs(131370877) -> cs(188879577) 
sbuf(131370877) -> sbuf(188879577) 
cmyk(131370877) -> cmyk(188879577) 
s(131370877) -> s(188879577) 
$r0(131370877) -> $r0(188879577) 
$r1(131370877) -> $r1(188879577) 
$r2(131370877) -> $r2(188879577) 
$r3(131370877) -> $r3(188879577) 
$r4(131370877) -> $r4(188879577) 
0(188879577) -> 0(-188879577) 
color(188879577) -> color(-188879577) 
cs(188879577) -> cs(-188879577) 
sbuf(188879577) -> sbuf(-188879577) 
cmyk(188879577) -> cmyk(-188879577) 
s(188879577) -> s(-188879577) 
$r0(188879577) -> $r0(-188879577) 
$r1(188879577) -> $r1(-188879577) 
$r2(188879577) -> $r2(-188879577) 
$r3(188879577) -> $r3(-188879577) 
$r4(188879577) -> $r4(-188879577) 
0(-188879577) -> 0(1683620426) 
color(-188879577) -> color(1683620426) 
cs(-188879577) -> cs(1683620426) 
sbuf(-188879577) -> sbuf(1683620426) 
cmyk(-188879577) -> cmyk(1683620426) 
s(-188879577) -> s(1683620426) 
$r0(-188879577) -> $r0(1683620426) 
$r1(-188879577) -> $r1(1683620426) 
$r2(-188879577) -> $r2(1683620426) 
$r3(-188879577) -> $r3(1683620426) 
$r4(-188879577) -> $r4(1683620426) 
0(1683620426) -> 0(-1683620426) 
color(1683620426) -> color(-1683620426) 
cs(1683620426) -> cs(-1683620426) 
sbuf(1683620426) -> sbuf(-1683620426) 
cmyk(1683620426) -> cmyk(-1683620426) 
$r0(1683620426) -> $r0(-1683620426) 
$r1(1683620426) -> $r1(-1683620426) 
$r2(1683620426) -> $r2(-1683620426) 
$r3(1683620426) -> $r3(-1683620426) 
$r4(1683620426) -> $r4(-1683620426) 
0(-1683620426) -> 0(1951408292) 
color(-1683620426) -> color(1951408292) 
cs(-1683620426) -> cs(1951408292) 
sbuf(-1683620426) -> sbuf(1951408292) 
cmyk(-1683620426) -> cmyk(1951408292) 
s(-1683620426) -> s(1951408292) 
$r0(-1683620426) -> $r0(1951408292) 
$r1(-1683620426) -> $r1(1951408292) 
$r2(-1683620426) -> $r2(1951408292) 
$r3(-1683620426) -> $r3(1951408292) 
$r4(-1683620426) -> $r4(1951408292) 
0(1951408292) -> 0(-1951408292) 
color(1951408292) -> color(-1951408292) 
cs(1951408292) -> cs(-1951408292) 
sbuf(1951408292) -> sbuf(-1951408292) 
cmyk(1951408292) -> cmyk(-1951408292) 
s(1951408292) -> s(-1951408292) 
$r0(1951408292) -> $r0(-1951408292) 
$r1(1951408292) -> $r1(-1951408292) 
$r2(1951408292) -> $r2(-1951408292) 
$r3(1951408292) -> $r3(-1951408292) 
$r4(1951408292) -> $r4(-1951408292) 
0(-1951408292) -> 0(1060671998) 
color(-1951408292) -> color(1060671998) 
cs(-1951408292) -> cs(1060671998) 
sbuf(-1951408292) -> sbuf(1060671998) 
cmyk(-1951408292) -> cmyk(1060671998) 
s(-1951408292) -> s(1060671998) 
$r0(-1951408292) -> $r0(1060671998) 
$r1(-1951408292) -> $r1(1060671998) 
$r2(-1951408292) -> $r2(1060671998) 
$r3(-1951408292) -> $r3(1060671998) 
$r4(-1951408292) -> $r4(1060671998) 
0(1060671998) -> 0(1260589975) 
color(1060671998) -> color(1260589975) 
cs(1060671998) -> cs(1260589975) 
sbuf(1060671998) -> sbuf(1260589975) 
cmyk(1060671998) -> cmyk(1260589975) 
s(1060671998) -> s(1260589975) 
$r0(1060671998) -> $r0(1260589975) 
$r1(1060671998) -> $r1(1260589975) 
$r2(1060671998) -> $r2(1260589975) 
$r3(1060671998) -> $r3(1260589975) 
$r4(1060671998) -> $r4(1260589975) 
0(1060671998) -> 0(337140623) 
color(1060671998) -> color(337140623) 
cs(1060671998) -> cs(337140623) 
sbuf(1060671998) -> sbuf(337140623) 
cmyk(1060671998) -> cmyk(337140623) 
s(1060671998) -> s(337140623) 
$r0(1060671998) -> $r0(337140623) 
$r1(1060671998) -> $r1(337140623) 
$r2(1060671998) -> $r2(337140623) 
$r3(1060671998) -> $r3(337140623) 
$r4(1060671998) -> $r4(337140623) 
0(337140623) -> 0(1260589975) 
color(337140623) -> color(1260589975) 
cs(337140623) -> cs(1260589975) 
sbuf(337140623) -> sbuf(1260589975) 
cmyk(337140623) -> cmyk(1260589975) 
s(337140623) -> s(1260589975) 
$r0(337140623) -> $r0(1260589975) 
$r1(337140623) -> $r1(1260589975) 
$r2(337140623) -> $r2(1260589975) 
$r3(337140623) -> $r3(1260589975) 
$r4(337140623) -> $r4(1260589975) 
0(1260589975) -> 0(974879675) 
color(1260589975) -> color(974879675) 
cs(1260589975) -> cs(974879675) 
sbuf(1260589975) -> sbuf(974879675) 
cmyk(1260589975) -> cmyk(974879675) 
s(1260589975) -> s(974879675) 
$r0(1260589975) -> $r0(974879675) 
$r1(1260589975) -> $r1(974879675) 
$r2(1260589975) -> $r2(974879675) 
$r3(1260589975) -> $r3(974879675) 
$r4(1260589975) -> $r4(974879675) 
0(974879675) -> 0(-974879675) 
color(974879675) -> color(-974879675) 
cs(974879675) -> cs(-974879675) 
sbuf(974879675) -> sbuf(-974879675) 
cmyk(974879675) -> cmyk(-974879675) 
s(974879675) -> s(-974879675) 
$r0(974879675) -> $r0(-974879675) 
$r1(974879675) -> $r1(-974879675) 
$r2(974879675) -> $r2(-974879675) 
$r3(974879675) -> $r3(-974879675) 
$r4(974879675) -> $r4(-974879675) 
0(-974879675) -> 0(333351223) 
color(-974879675) -> color(333351223) 
cs(-974879675) -> cs(333351223) 
sbuf(-974879675) -> sbuf(333351223) 
cmyk(-974879675) -> cmyk(333351223) 
s(-974879675) -> s(333351223) 
$r0(-974879675) -> $r0(333351223) 
$r1(-974879675) -> $r1(333351223) 
$r2(-974879675) -> $r2(333351223) 
$r3(-974879675) -> $r3(333351223) 
$r4(-974879675) -> $r4(333351223) 
0(333351223) -> 0(-333351223) 
color(333351223) -> color(-333351223) 
cs(333351223) -> cs(-333351223) 
sbuf(333351223) -> sbuf(-333351223) 
cmyk(333351223) -> cmyk(-333351223) 
$r0(333351223) -> $r0(-333351223) 
$r1(333351223) -> $r1(-333351223) 
$r2(333351223) -> $r2(-333351223) 
$r3(333351223) -> $r3(-333351223) 
$r4(333351223) -> $r4(-333351223) 
0(-333351223) -> 0(1177335073) 
color(-333351223) -> color(1177335073) 
cs(-333351223) -> cs(1177335073) 
sbuf(-333351223) -> sbuf(1177335073) 
cmyk(-333351223) -> cmyk(1177335073) 
s(-333351223) -> s(1177335073) 
$r0(-333351223) -> $r0(1177335073) 
$r1(-333351223) -> $r1(1177335073) 
$r2(-333351223) -> $r2(1177335073) 
$r3(-333351223) -> $r3(1177335073) 
$r4(-333351223) -> $r4(1177335073) 
0(1177335073) -> 0(-1177335073) 
color(1177335073) -> color(-1177335073) 
cs(1177335073) -> cs(-1177335073) 
sbuf(1177335073) -> sbuf(-1177335073) 
cmyk(1177335073) -> cmyk(-1177335073) 
s(1177335073) -> s(-1177335073) 
$r0(1177335073) -> $r0(-1177335073) 
$r1(1177335073) -> $r1(-1177335073) 
$r2(1177335073) -> $r2(-1177335073) 
$r3(1177335073) -> $r3(-1177335073) 
$r4(1177335073) -> $r4(-1177335073) 
0(-1177335073) -> 0(871434180) 
color(-1177335073) -> color(871434180) 
cs(-1177335073) -> cs(871434180) 
sbuf(-1177335073) -> sbuf(871434180) 
cmyk(-1177335073) -> cmyk(871434180) 
s(-1177335073) -> s(871434180) 
$r0(-1177335073) -> $r0(871434180) 
$r1(-1177335073) -> $r1(871434180) 
$r2(-1177335073) -> $r2(871434180) 
$r3(-1177335073) -> $r3(871434180) 
$r4(-1177335073) -> $r4(871434180) 
0(871434180) -> 0(143772376) 
color(871434180) -> color(143772376) 
cs(871434180) -> cs(143772376) 
sbuf(871434180) -> sbuf(143772376) 
cmyk(871434180) -> cmyk(143772376) 
s(871434180) -> s(143772376) 
$r0(871434180) -> $r0(143772376) 
$r1(871434180) -> $r1(143772376) 
$r2(871434180) -> $r2(143772376) 
$r3(871434180) -> $r3(143772376) 
$r4(871434180) -> $r4(143772376) 
0(871434180) -> 0(1809532170) 
color(871434180) -> color(1809532170) 
cs(871434180) -> cs(1809532170) 
sbuf(871434180) -> sbuf(1809532170) 
cmyk(871434180) -> cmyk(1809532170) 
s(871434180) -> s(1809532170) 
$r0(871434180) -> $r0(1809532170) 
$r1(871434180) -> $r1(1809532170) 
$r2(871434180) -> $r2(1809532170) 
$r3(871434180) -> $r3(1809532170) 
$r4(871434180) -> $r4(1809532170) 
0(1809532170) -> 0(143772376) 
color(1809532170) -> color(143772376) 
cs(1809532170) -> cs(143772376) 
sbuf(1809532170) -> sbuf(143772376) 
cmyk(1809532170) -> cmyk(143772376) 
s(1809532170) -> s(143772376) 
$r0(1809532170) -> $r0(143772376) 
$r1(1809532170) -> $r1(143772376) 
$r2(1809532170) -> $r2(143772376) 
$r3(1809532170) -> $r3(143772376) 
$r4(1809532170) -> $r4(143772376) 
0(143772376) -> 0(700123581) 
color(143772376) -> color(700123581) 
cs(143772376) -> cs(700123581) 
sbuf(143772376) -> sbuf(700123581) 
cmyk(143772376) -> cmyk(700123581) 
s(143772376) -> s(700123581) 
$r0(143772376) -> $r0(700123581) 
$r1(143772376) -> $r1(700123581) 
$r2(143772376) -> $r2(700123581) 
$r3(143772376) -> $r3(700123581) 
$r4(143772376) -> $r4(700123581) 
0(700123581) -> 0(-700123581) 
color(700123581) -> color(-700123581) 
cs(700123581) -> cs(-700123581) 
sbuf(700123581) -> sbuf(-700123581) 
cmyk(700123581) -> cmyk(-700123581) 
s(700123581) -> s(-700123581) 
$r0(700123581) -> $r0(-700123581) 
$r1(700123581) -> $r1(-700123581) 
$r2(700123581) -> $r2(-700123581) 
$r3(700123581) -> $r3(-700123581) 
$r4(700123581) -> $r4(-700123581) 
0(-700123581) -> 0(583284240) 
color(-700123581) -> color(583284240) 
cs(-700123581) -> cs(583284240) 
sbuf(-700123581) -> sbuf(583284240) 
cmyk(-700123581) -> cmyk(583284240) 
s(-700123581) -> s(583284240) 
$r0(-700123581) -> $r0(583284240) 
$r1(-700123581) -> $r1(583284240) 
$r2(-700123581) -> $r2(583284240) 
$r3(-700123581) -> $r3(583284240) 
$r4(-700123581) -> $r4(583284240) 
0(583284240) -> 0(1489382150) 
color(583284240) -> color(1489382150) 
cs(583284240) -> cs(1489382150) 
sbuf(583284240) -> sbuf(1489382150) 
cmyk(583284240) -> cmyk(1489382150) 
s(583284240) -> s(1489382150) 
$r0(583284240) -> $r0(1489382150) 
$r1(583284240) -> $r1(1489382150) 
$r2(583284240) -> $r2(1489382150) 
$r3(583284240) -> $r3(1489382150) 
$r4(583284240) -> $r4(1489382150) 
0(583284240) -> 0(1693006814) 
color(583284240) -> color(1693006814) 
cs(583284240) -> cs(1693006814) 
sbuf(583284240) -> sbuf(1693006814) 
cmyk(583284240) -> cmyk(1693006814) 
s(583284240) -> s(1693006814) 
$r0(583284240) -> $r0(1693006814) 
$r1(583284240) -> $r1(1693006814) 
$r2(583284240) -> $r2(1693006814) 
$r3(583284240) -> $r3(1693006814) 
$r4(583284240) -> $r4(1693006814) 
0(1693006814) -> 0(-1693006814) 
color(1693006814) -> color(-1693006814) 
cs(1693006814) -> cs(-1693006814) 
sbuf(1693006814) -> sbuf(-1693006814) 
cmyk(1693006814) -> cmyk(-1693006814) 
s(1693006814) -> s(-1693006814) 
$r0(1693006814) -> $r0(-1693006814) 
$r1(1693006814) -> $r1(-1693006814) 
$r2(1693006814) -> $r2(-1693006814) 
$r3(1693006814) -> $r3(-1693006814) 
$r4(1693006814) -> $r4(-1693006814) 
0(-1693006814) -> 0(1341895649) 
color(-1693006814) -> color(1341895649) 
cs(-1693006814) -> cs(1341895649) 
sbuf(-1693006814) -> sbuf(1341895649) 
cmyk(-1693006814) -> cmyk(1341895649) 
s(-1693006814) -> s(1341895649) 
$r0(-1693006814) -> $r0(1341895649) 
$r1(-1693006814) -> $r1(1341895649) 
$r2(-1693006814) -> $r2(1341895649) 
$r3(-1693006814) -> $r3(1341895649) 
$r4(-1693006814) -> $r4(1341895649) 
0(1341895649) -> 0(-1341895649) 
color(1341895649) -> color(-1341895649) 
cs(1341895649) -> cs(-1341895649) 
sbuf(1341895649) -> sbuf(-1341895649) 
cmyk(1341895649) -> cmyk(-1341895649) 
$r0(1341895649) -> $r0(-1341895649) 
$r1(1341895649) -> $r1(-1341895649) 
$r2(1341895649) -> $r2(-1341895649) 
$r3(1341895649) -> $r3(-1341895649) 
$r4(1341895649) -> $r4(-1341895649) 
0(-1341895649) -> 0(1263576306) 
color(-1341895649) -> color(1263576306) 
cs(-1341895649) -> cs(1263576306) 
sbuf(-1341895649) -> sbuf(1263576306) 
cmyk(-1341895649) -> cmyk(1263576306) 
s(-1341895649) -> s(1263576306) 
$r0(-1341895649) -> $r0(1263576306) 
$r1(-1341895649) -> $r1(1263576306) 
$r2(-1341895649) -> $r2(1263576306) 
$r3(-1341895649) -> $r3(1263576306) 
$r4(-1341895649) -> $r4(1263576306) 
0(1263576306) -> 0(-1263576306) 
color(1263576306) -> color(-1263576306) 
cs(1263576306) -> cs(-1263576306) 
sbuf(1263576306) -> sbuf(-1263576306) 
cmyk(1263576306) -> cmyk(-1263576306) 
s(1263576306) -> s(-1263576306) 
$r0(1263576306) -> $r0(-1263576306) 
$r1(1263576306) -> $r1(-1263576306) 
$r2(1263576306) -> $r2(-1263576306) 
$r3(1263576306) -> $r3(-1263576306) 
$r4(1263576306) -> $r4(-1263576306) 
0(-1263576306) -> 0(947797490) 
color(-1263576306) -> color(947797490) 
cs(-1263576306) -> cs(947797490) 
sbuf(-1263576306) -> sbuf(947797490) 
cmyk(-1263576306) -> cmyk(947797490) 
s(-1263576306) -> s(947797490) 
$r0(-1263576306) -> $r0(947797490) 
$r1(-1263576306) -> $r1(947797490) 
$r2(-1263576306) -> $r2(947797490) 
$r3(-1263576306) -> $r3(947797490) 
$r4(-1263576306) -> $r4(947797490) 
0(947797490) -> 0(719681124) 
color(947797490) -> color(719681124) 
cs(947797490) -> cs(719681124) 
sbuf(947797490) -> sbuf(719681124) 
cmyk(947797490) -> cmyk(719681124) 
s(947797490) -> s(719681124) 
$r0(947797490) -> $r0(719681124) 
$r1(947797490) -> $r1(719681124) 
$r2(947797490) -> $r2(719681124) 
$r3(947797490) -> $r3(719681124) 
$r4(947797490) -> $r4(719681124) 
0(947797490) -> 0(463220557) 
color(947797490) -> color(463220557) 
cs(947797490) -> cs(463220557) 
sbuf(947797490) -> sbuf(463220557) 
cmyk(947797490) -> cmyk(463220557) 
s(947797490) -> s(463220557) 
$r0(947797490) -> $r0(463220557) 
$r1(947797490) -> $r1(463220557) 
$r2(947797490) -> $r2(463220557) 
$r3(947797490) -> $r3(463220557) 
$r4(947797490) -> $r4(463220557) 
0(463220557) -> 0(719681124) 
color(463220557) -> color(719681124) 
cs(463220557) -> cs(719681124) 
sbuf(463220557) -> sbuf(719681124) 
cmyk(463220557) -> cmyk(719681124) 
s(463220557) -> s(719681124) 
$r0(463220557) -> $r0(719681124) 
$r1(463220557) -> $r1(719681124) 
$r2(463220557) -> $r2(719681124) 
$r3(463220557) -> $r3(719681124) 
$r4(463220557) -> $r4(719681124) 
0(719681124) -> 0(1489382150) 
color(719681124) -> color(1489382150) 
cs(719681124) -> cs(1489382150) 
sbuf(719681124) -> sbuf(1489382150) 
cmyk(719681124) -> cmyk(1489382150) 
s(719681124) -> s(1489382150) 
$r0(719681124) -> $r0(1489382150) 
$r1(719681124) -> $r1(1489382150) 
$r2(719681124) -> $r2(1489382150) 
$r3(719681124) -> $r3(1489382150) 
$r4(719681124) -> $r4(1489382150) 
0(1489382150) -> 0(-1489382150) 
color(1489382150) -> color(-1489382150) 
cs(1489382150) -> cs(-1489382150) 
sbuf(1489382150) -> sbuf(-1489382150) 
cmyk(1489382150) -> cmyk(-1489382150) 
s(1489382150) -> s(-1489382150) 
$r0(1489382150) -> $r0(-1489382150) 
$r1(1489382150) -> $r1(-1489382150) 
$r2(1489382150) -> $r2(-1489382150) 
$r4(1489382150) -> $r4(-1489382150) 
0(-1489382150) -> 0(976405618) 
color(-1489382150) -> color(976405618) 
cs(-1489382150) -> cs(976405618) 
sbuf(-1489382150) -> sbuf(976405618) 
cmyk(-1489382150) -> cmyk(976405618) 
s(-1489382150) -> s(976405618) 
$r0(-1489382150) -> $r0(976405618) 
$r1(-1489382150) -> $r1(976405618) 
$r2(-1489382150) -> $r2(976405618) 
$r3(-1489382150) -> $r3(976405618) 
$r4(-1489382150) -> $r4(976405618) 
0(976405618) -> 0(-742130935) 
color(976405618) -> color(-742130935) 
cs(976405618) -> cs(-742130935) 
sbuf(976405618) -> sbuf(-742130935) 
cmyk(976405618) -> cmyk(-742130935) 
s(976405618) -> s(-742130935) 
$r0(976405618) -> $r0(-742130935) 
$r1(976405618) -> $r1(-742130935) 
$r2(976405618) -> $r2(-742130935) 
$r3(976405618) -> $r3(-742130935) 
$r4(976405618) -> $r4(-742130935) 
$r3(976405618) -> .return(-742130935) 
