method: org.apache.fop.traits.BorderProps.valueOf:68858783
$r0(911316984) -> $r0(651996073) 
$r1(911316984) -> $r1(651996073) 
$r2(911316984) -> $r2(651996073) 
$r3(911316984) -> $r3(651996073) 
$r4(911316984) -> $r4(651996073) 
$r5(911316984) -> $r5(651996073) 
0(911316984) -> 0(800283876) 
foUserAgent(911316984) -> foUserAgent(800283876) 
s(911316984) -> s(800283876) 
st(911316984) -> st(800283876) 
style(911316984) -> style(800283876) 
color(911316984) -> color(800283876) 
ms(911316984) -> ms(800283876) 
c(911316984) -> c(800283876) 
e(911316984) -> e(800283876) 
s(911316984) -> s(800283876) 
$r0(911316984) -> $r0(800283876) 
$r1(911316984) -> $r1(800283876) 
$r2(911316984) -> $r2(800283876) 
$r3(911316984) -> $r3(800283876) 
$r4(911316984) -> $r4(800283876) 
$r5(911316984) -> $r5(800283876) 
0(800283876) -> 0(651996073) 
foUserAgent(800283876) -> foUserAgent(651996073) 
s(800283876) -> s(651996073) 
st(800283876) -> st(651996073) 
style(800283876) -> style(651996073) 
color(800283876) -> color(651996073) 
ms(800283876) -> ms(651996073) 
c(800283876) -> c(651996073) 
e(800283876) -> e(651996073) 
s(800283876) -> s(651996073) 
$r0(800283876) -> $r0(651996073) 
$r1(800283876) -> $r1(651996073) 
$r2(800283876) -> $r2(651996073) 
$r3(800283876) -> $r3(651996073) 
$r4(800283876) -> $r4(651996073) 
$r5(800283876) -> $r5(651996073) 
0(651996073) -> 0(-651996073) 
foUserAgent(651996073) -> foUserAgent(-651996073) 
s(651996073) -> s(-651996073) 
st(651996073) -> st(-651996073) 
style(651996073) -> style(-651996073) 
color(651996073) -> color(-651996073) 
ms(651996073) -> ms(-651996073) 
e(651996073) -> e(-651996073) 
s(651996073) -> s(-651996073) 
$r0(651996073) -> $r0(-651996073) 
$r1(651996073) -> $r1(-651996073) 
$r2(651996073) -> $r2(-651996073) 
$r3(651996073) -> $r3(-651996073) 
$r4(651996073) -> $r4(-651996073) 
$r5(651996073) -> $r5(-651996073) 
0(-651996073) -> 0(1636431917) 
foUserAgent(-651996073) -> foUserAgent(1636431917) 
s(-651996073) -> s(1636431917) 
st(-651996073) -> st(1636431917) 
style(-651996073) -> style(1636431917) 
color(-651996073) -> color(1636431917) 
ms(-651996073) -> ms(1636431917) 
c(-651996073) -> c(1636431917) 
e(-651996073) -> e(1636431917) 
s(-651996073) -> s(1636431917) 
$r0(-651996073) -> $r0(1636431917) 
$r1(-651996073) -> $r1(1636431917) 
$r2(-651996073) -> $r2(1636431917) 
$r3(-651996073) -> $r3(1636431917) 
$r4(-651996073) -> $r4(1636431917) 
$r5(-651996073) -> $r5(1636431917) 
0(1636431917) -> 0(18222296) 
foUserAgent(1636431917) -> foUserAgent(18222296) 
s(1636431917) -> s(18222296) 
st(1636431917) -> st(18222296) 
style(1636431917) -> style(18222296) 
color(1636431917) -> color(18222296) 
ms(1636431917) -> ms(18222296) 
c(1636431917) -> c(18222296) 
e(1636431917) -> e(18222296) 
s(1636431917) -> s(18222296) 
$r0(1636431917) -> $r0(18222296) 
$r1(1636431917) -> $r1(18222296) 
$r2(1636431917) -> $r2(18222296) 
$r3(1636431917) -> $r3(18222296) 
$r4(1636431917) -> $r4(18222296) 
$r5(1636431917) -> $r5(18222296) 
0(688161890) -> 0(1737446135) 
foUserAgent(688161890) -> foUserAgent(1737446135) 
s(688161890) -> s(1737446135) 
st(688161890) -> st(1737446135) 
style(688161890) -> style(1737446135) 
color(688161890) -> color(1737446135) 
ms(688161890) -> ms(1737446135) 
c(688161890) -> c(1737446135) 
s(688161890) -> s(1737446135) 
$r0(688161890) -> $r0(1737446135) 
$r1(688161890) -> $r1(1737446135) 
$r2(688161890) -> e(1737446135) 
$r2(688161890) -> $r2(1737446135) 
$r3(688161890) -> $r3(1737446135) 
$r4(688161890) -> $r4(1737446135) 
$r5(688161890) -> $r5(1737446135) 
0(1737446135) -> 0(1359765593) 
foUserAgent(1737446135) -> foUserAgent(1359765593) 
s(1737446135) -> s(1359765593) 
st(1737446135) -> st(1359765593) 
style(1737446135) -> style(1359765593) 
color(1737446135) -> color(1359765593) 
ms(1737446135) -> ms(1359765593) 
c(1737446135) -> c(1359765593) 
e(1737446135) -> e(1359765593) 
s(1737446135) -> s(1359765593) 
$r0(1737446135) -> $r0(1359765593) 
$r1(1737446135) -> $r1(1359765593) 
$r2(1737446135) -> $r2(1359765593) 
$r4(1737446135) -> $r4(1359765593) 
$r5(1737446135) -> $r5(1359765593) 
0(1359765593) -> 0(-1359765593) 
foUserAgent(1359765593) -> foUserAgent(-1359765593) 
s(1359765593) -> s(-1359765593) 
st(1359765593) -> st(-1359765593) 
style(1359765593) -> style(-1359765593) 
color(1359765593) -> color(-1359765593) 
ms(1359765593) -> ms(-1359765593) 
c(1359765593) -> c(-1359765593) 
e(1359765593) -> e(-1359765593) 
s(1359765593) -> s(-1359765593) 
$r0(1359765593) -> $r0(-1359765593) 
$r1(1359765593) -> $r1(-1359765593) 
$r2(1359765593) -> $r2(-1359765593) 
$r3(1359765593) -> $r3(-1359765593) 
$r5(1359765593) -> $r5(-1359765593) 
0(-1359765593) -> 0(59350177) 
foUserAgent(-1359765593) -> foUserAgent(59350177) 
s(-1359765593) -> s(59350177) 
st(-1359765593) -> st(59350177) 
style(-1359765593) -> style(59350177) 
color(-1359765593) -> color(59350177) 
ms(-1359765593) -> ms(59350177) 
c(-1359765593) -> c(59350177) 
e(-1359765593) -> e(59350177) 
s(-1359765593) -> s(59350177) 
$r0(-1359765593) -> $r0(59350177) 
$r1(-1359765593) -> $r1(59350177) 
$r2(-1359765593) -> $r2(59350177) 
$r3(-1359765593) -> $r3(59350177) 
$r4(-1359765593) -> $r4(59350177) 
$r5(-1359765593) -> $r5(59350177) 
0(59350177) -> 0(1066012631) 
foUserAgent(59350177) -> foUserAgent(1066012631) 
s(59350177) -> s(1066012631) 
st(59350177) -> st(1066012631) 
style(59350177) -> style(1066012631) 
color(59350177) -> color(1066012631) 
ms(59350177) -> ms(1066012631) 
c(59350177) -> c(1066012631) 
e(59350177) -> e(1066012631) 
s(59350177) -> s(1066012631) 
$r0(59350177) -> $r0(1066012631) 
$r1(59350177) -> $r1(1066012631) 
$r2(59350177) -> $r2(1066012631) 
$r3(59350177) -> $r3(1066012631) 
$r4(59350177) -> $r4(1066012631) 
$r5(59350177) -> $r5(1066012631) 
0(18222296) -> 0(225892979) 
foUserAgent(18222296) -> foUserAgent(225892979) 
s(18222296) -> s(225892979) 
st(18222296) -> st(225892979) 
style(18222296) -> style(225892979) 
color(18222296) -> color(225892979) 
ms(18222296) -> ms(225892979) 
c(18222296) -> c(225892979) 
e(18222296) -> e(225892979) 
s(18222296) -> s(225892979) 
$r0(18222296) -> $r0(225892979) 
$r1(18222296) -> $r1(225892979) 
$r2(18222296) -> $r2(225892979) 
$r3(18222296) -> $r3(225892979) 
$r4(18222296) -> $r4(225892979) 
0(225892979) -> 0(1979693804) 
foUserAgent(225892979) -> foUserAgent(1979693804) 
s(225892979) -> s(1979693804) 
st(225892979) -> st(1979693804) 
style(225892979) -> style(1979693804) 
color(225892979) -> color(1979693804) 
ms(225892979) -> ms(1979693804) 
c(225892979) -> c(1979693804) 
e(225892979) -> e(1979693804) 
s(225892979) -> s(1979693804) 
$r0(225892979) -> $r0(1979693804) 
$r1(225892979) -> $r1(1979693804) 
$r2(225892979) -> $r2(1979693804) 
$r3(225892979) -> $r3(1979693804) 
$r4(225892979) -> $r4(1979693804) 
$r5(225892979) -> $r5(1979693804) 
0(1979693804) -> 0(-68858783) 
foUserAgent(1979693804) -> foUserAgent(-68858783) 
s(1979693804) -> s(-68858783) 
st(1979693804) -> st(-68858783) 
style(1979693804) -> style(-68858783) 
color(1979693804) -> color(-68858783) 
ms(1979693804) -> ms(-68858783) 
c(1979693804) -> c(-68858783) 
e(1979693804) -> e(-68858783) 
s(1979693804) -> s(-68858783) 
$r0(1979693804) -> $r0(-68858783) 
$r1(1979693804) -> $r1(-68858783) 
$r2(1979693804) -> $r2(-68858783) 
$r3(1979693804) -> $r3(-68858783) 
$r4(1979693804) -> $r4(-68858783) 
$r5(1979693804) -> $r5(-68858783) 
$r5(1979693804) -> .return(-68858783) 
0(1749620857) -> 0(800227904) 
foUserAgent(1749620857) -> foUserAgent(800227904) 
s(1749620857) -> s(800227904) 
st(1749620857) -> st(800227904) 
style(1749620857) -> style(800227904) 
color(1749620857) -> color(800227904) 
ms(1749620857) -> ms(800227904) 
c(1749620857) -> c(800227904) 
e(1749620857) -> e(800227904) 
s(1749620857) -> s(800227904) 
$r0(1749620857) -> $r0(800227904) 
$r1(1749620857) -> $r1(800227904) 
$r2(1749620857) -> $r2(800227904) 
$r4(1749620857) -> $r4(800227904) 
$r5(1749620857) -> $r5(800227904) 
0(800227904) -> 0(1887785014) 
foUserAgent(800227904) -> foUserAgent(1887785014) 
s(800227904) -> s(1887785014) 
st(800227904) -> st(1887785014) 
style(800227904) -> style(1887785014) 
color(800227904) -> color(1887785014) 
ms(800227904) -> ms(1887785014) 
c(800227904) -> c(1887785014) 
e(800227904) -> e(1887785014) 
s(800227904) -> s(1887785014) 
$r0(800227904) -> $r0(1887785014) 
$r1(800227904) -> $r1(1887785014) 
$r2(800227904) -> $r2(1887785014) 
$r3(800227904) -> $r3(1887785014) 
$r4(800227904) -> $r4(1887785014) 
$r5(800227904) -> $r5(1887785014) 
