method: org.apache.fop.fo.flow.table.PrimaryGridUnit.getBeforeBorderWidth:1591012210
224904 -> 224918
224905 -> 224919
224906 -> 224920
224907 -> 224921
224908 -> 224922
224909 -> 224923
224910 -> 224924
224911 -> 224925
224913 -> 224926
224914 -> 224927
224915 -> 224928
224916 -> 224929
224917 -> 224930
224918 -> 224931
224919 -> 224932
224920 -> 224933
224921 -> 224934
224922 -> 224935
224923 -> 224936
224924 -> 224937
224925 -> 224938
224926 -> 224939
224927 -> 224940
224928 -> 224941
224929 -> 224942
224930 -> 224943
224931 -> 224944
224932 -> 224945
224933 -> 224946
224934 -> 224947
224935 -> 224948
224936 -> 224949
224937 -> 224950
224938 -> 224951
224939 -> 224952
224940 -> 224953
224941 -> 224954
224942 -> 224955
224943 -> 224956
224944 -> 224957
224945 -> 224958
224946 -> 224959
224947 -> 224960
224948 -> 224961
224949 -> 224962
224950 -> 224963
224951 -> 224964
224952 -> 224965
224953 -> 224966
224954 -> 224967
224955 -> 224968
224956 -> 224969
224957 -> 224970
224958 -> 224971
224959 -> 224972
224960 -> 224973
224961 -> 224974
224962 -> 224975
224963 -> 224976
224964 -> 224977
224965 -> 224978
224966 -> 224823
224967 -> 224824
224968 -> 224825
224969 -> 224826
224970 -> 224827
224971 -> 224828
224972 -> 224829
224973 -> 224830
224974 -> 224831
224975 -> 224832
224976 -> 224833
224977 -> 224834
224978 -> 224835
224849 -> 224979
224850 -> 224980
224851 -> 224981
224852 -> 224982
224853 -> 224983
224854 -> 224984
224855 -> 224985
224856 -> 224986
224857 -> 224987
224858 -> 224988
224859 -> 224989
224860 -> 224990
224861 -> 224991
224979 -> 224367
224980 -> 224368
224981 -> 224369
224982 -> 224370
224983 -> 224371
224984 -> 224372
224985 -> 224373
224986 -> 224374
224987 -> 224375
224988 -> 224376
224989 -> 224377
224990 -> 224378
224991 -> 224379
224979 -> 224380
