method: org.apache.fop.hyphenation.Hyphenator.getFopHyphenationTree:482987081
$r2(433940904) -> $r2(-433940904) 
hTree(433940904) -> hTree(-433940904) 
$r3(433940904) -> $r3(-433940904) 
0(-433940904) -> 0(1496809074) 
key(-433940904) -> key(1496809074) 
lang(-433940904) -> lang(1496809074) 
l6(-433940904) -> l6(1496809074) 
is(-433940904) -> is(1496809074) 
$r0(-433940904) -> $r0(1496809074) 
$r1(-433940904) -> $r1(1496809074) 
$r2(-433940904) -> $r2(1496809074) 
hTree(-433940904) -> hTree(1496809074) 
$r3(-433940904) -> $r3(1496809074) 
0(1496809074) -> 0(-1496809074) 
key(1496809074) -> key(-1496809074) 
lang(1496809074) -> lang(-1496809074) 
l6(1496809074) -> l6(-1496809074) 
is(1496809074) -> is(-1496809074) 
$r0(1496809074) -> $r0(-1496809074) 
$r2(1496809074) -> $r2(-1496809074) 
hTree(1496809074) -> hTree(-1496809074) 
$r3(1496809074) -> $r3(-1496809074) 
0(-1496809074) -> 0(1860968188) 
key(-1496809074) -> key(1860968188) 
lang(-1496809074) -> lang(1860968188) 
l6(-1496809074) -> l6(1860968188) 
is(-1496809074) -> is(1860968188) 
$r0(-1496809074) -> $r0(1860968188) 
$r1(-1496809074) -> $r1(1860968188) 
$r2(-1496809074) -> $r2(1860968188) 
hTree(-1496809074) -> hTree(1860968188) 
$r3(-1496809074) -> $r3(1860968188) 
0(1860968188) -> 0(-1860968188) 
key(1860968188) -> key(-1860968188) 
lang(1860968188) -> lang(-1860968188) 
l6(1860968188) -> l6(-1860968188) 
is(1860968188) -> is(-1860968188) 
$r0(1860968188) -> $r0(-1860968188) 
$r2(1860968188) -> $r2(-1860968188) 
hTree(1860968188) -> hTree(-1860968188) 
$r3(1860968188) -> $r3(-1860968188) 
0(-1860968188) -> 0(1340500808) 
key(-1860968188) -> key(1340500808) 
lang(-1860968188) -> lang(1340500808) 
l6(-1860968188) -> l6(1340500808) 
is(-1860968188) -> is(1340500808) 
$r0(-1860968188) -> $r0(1340500808) 
$r1(-1860968188) -> $r1(1340500808) 
$r2(-1860968188) -> $r2(1340500808) 
hTree(-1860968188) -> hTree(1340500808) 
$r3(-1860968188) -> $r3(1340500808) 
0(1340500808) -> 0(-1340500808) 
key(1340500808) -> key(-1340500808) 
lang(1340500808) -> lang(-1340500808) 
l6(1340500808) -> l6(-1340500808) 
is(1340500808) -> is(-1340500808) 
$r0(1340500808) -> $r0(-1340500808) 
$r1(1340500808) -> $r1(-1340500808) 
hTree(1340500808) -> hTree(-1340500808) 
$r3(1340500808) -> $r3(-1340500808) 
0(-1340500808) -> 0(546139379) 
key(-1340500808) -> key(546139379) 
lang(-1340500808) -> lang(546139379) 
l6(-1340500808) -> l6(546139379) 
is(-1340500808) -> is(546139379) 
$r0(-1340500808) -> $r0(546139379) 
$r1(-1340500808) -> $r1(546139379) 
$r2(-1340500808) -> $r2(546139379) 
hTree(-1340500808) -> hTree(546139379) 
$r3(-1340500808) -> $r3(546139379) 
0(546139379) -> 0(2000472016) 
key(546139379) -> key(2000472016) 
lang(546139379) -> lang(2000472016) 
l6(546139379) -> l6(2000472016) 
is(546139379) -> is(2000472016) 
$r0(546139379) -> $r0(2000472016) 
$r1(546139379) -> $r1(2000472016) 
$r2(546139379) -> $r2(2000472016) 
hTree(546139379) -> hTree(2000472016) 
$r3(546139379) -> $r3(2000472016) 
0(2000472016) -> 0(487351376) 
key(2000472016) -> key(487351376) 
lang(2000472016) -> lang(487351376) 
l6(2000472016) -> l6(487351376) 
is(2000472016) -> is(487351376) 
$r0(2000472016) -> $r0(487351376) 
$r1(2000472016) -> $r1(487351376) 
$r2(2000472016) -> $r2(487351376) 
hTree(2000472016) -> hTree(487351376) 
$r3(2000472016) -> $r3(487351376) 
0(487351376) -> 0(102152690) 
key(487351376) -> key(102152690) 
lang(487351376) -> lang(102152690) 
l6(487351376) -> l6(102152690) 
is(487351376) -> is(102152690) 
$r0(487351376) -> $r0(102152690) 
$r1(487351376) -> $r1(102152690) 
$r2(487351376) -> $r2(102152690) 
hTree(487351376) -> hTree(102152690) 
$r3(487351376) -> $r3(102152690) 
0(102152690) -> 0(-482987081) 
key(102152690) -> key(-482987081) 
lang(102152690) -> lang(-482987081) 
l6(102152690) -> l6(-482987081) 
is(102152690) -> is(-482987081) 
$r0(102152690) -> $r0(-482987081) 
$r1(102152690) -> $r1(-482987081) 
$r2(102152690) -> $r2(-482987081) 
hTree(102152690) -> hTree(-482987081) 
$r3(102152690) -> $r3(-482987081) 
0(102152690) -> .return(-482987081) 
0(516554318) -> 0(-516554318) 
key(516554318) -> key(-516554318) 
lang(516554318) -> lang(-516554318) 
l6(516554318) -> l6(-516554318) 
is(516554318) -> is(-516554318) 
$r0(516554318) -> $r0(-516554318) 
$r1(516554318) -> $r1(-516554318) 
$r2(516554318) -> $r2(-516554318) 
$r3(516554318) -> $r3(-516554318) 
0(-516554318) -> 0(956750618) 
key(-516554318) -> key(956750618) 
lang(-516554318) -> lang(956750618) 
l6(-516554318) -> l6(956750618) 
is(-516554318) -> is(956750618) 
$r0(-516554318) -> $r0(956750618) 
$r1(-516554318) -> $r1(956750618) 
$r2(-516554318) -> $r2(956750618) 
hTree(-516554318) -> hTree(956750618) 
$r3(-516554318) -> $r3(956750618) 
0(956750618) -> 0(1897571637) 
key(956750618) -> key(1897571637) 
lang(956750618) -> lang(1897571637) 
l6(956750618) -> l6(1897571637) 
is(956750618) -> is(1897571637) 
$r0(956750618) -> $r0(1897571637) 
$r1(956750618) -> $r1(1897571637) 
$r2(956750618) -> $r2(1897571637) 
hTree(956750618) -> hTree(1897571637) 
$r3(956750618) -> $r3(1897571637) 
0(1897571637) -> 0(863630265) 
key(1897571637) -> key(863630265) 
lang(1897571637) -> lang(863630265) 
l6(1897571637) -> l6(863630265) 
is(1897571637) -> is(863630265) 
$r0(1897571637) -> $r0(863630265) 
$r1(1897571637) -> $r1(863630265) 
$r2(1897571637) -> $r2(863630265) 
hTree(1897571637) -> hTree(863630265) 
$r3(1897571637) -> $r3(863630265) 
0(206861462) -> 0(351202985) 
key(206861462) -> key(351202985) 
lang(206861462) -> lang(351202985) 
is(206861462) -> is(351202985) 
$r0(206861462) -> $r0(351202985) 
$r1(206861462) -> $r1(351202985) 
$r2(206861462) -> $r2(351202985) 
hTree(206861462) -> hTree(351202985) 
$r3(206861462) -> l6(351202985) 
$r3(206861462) -> $r3(351202985) 
0(351202985) -> 0(1795677704) 
key(351202985) -> key(1795677704) 
lang(351202985) -> lang(1795677704) 
l6(351202985) -> l6(1795677704) 
is(351202985) -> is(1795677704) 
$r0(351202985) -> $r0(1795677704) 
$r1(351202985) -> $r1(1795677704) 
$r2(351202985) -> $r2(1795677704) 
hTree(351202985) -> hTree(1795677704) 
$r3(351202985) -> $r3(1795677704) 
0(863630265) -> 0(-482987081) 
key(863630265) -> key(-482987081) 
lang(863630265) -> lang(-482987081) 
l6(863630265) -> l6(-482987081) 
is(863630265) -> is(-482987081) 
$r0(863630265) -> $r0(-482987081) 
$r1(863630265) -> $r1(-482987081) 
$r2(863630265) -> $r2(-482987081) 
hTree(863630265) -> hTree(-482987081) 
$r3(863630265) -> $r3(-482987081) 
hTree(863630265) -> .return(-482987081) 
