method: org.apache.fop.text.linebreak.LineBreakUtils.init_0:1365811000
2493110 -> 2493113
2493111 -> 2493114
2493112 -> 2493115
2493113 -> 2493116
2493114 -> 2493117
2493115 -> 2493118
2493116 -> 2493119
2493117 -> 2493120
2493118 -> 2493121
2493119 -> 2493122
2493120 -> 2493123
2493121 -> 2493124
2493122 -> 2493125
2493123 -> 2493126
2493124 -> 2493127
2493125 -> 2493128
2493126 -> 2493129
2493127 -> 2493130
2493128 -> 2493131
2493129 -> 2493132
2493130 -> 2493133
2493131 -> 2493134
2493132 -> 2493135
2493133 -> 2493136
2493134 -> 2493137
2493135 -> 2493138
2493136 -> 2493139
2493137 -> 2493140
2493138 -> 2493141
2493139 -> 2493142
2493140 -> 2493143
2493141 -> 2493144
2493142 -> 2493145
2493143 -> 2493146
2493144 -> 2493147
2493145 -> 2493148
2493146 -> 2493149
2493147 -> 2493150
2493148 -> 2493151
2493149 -> 2493152
2493150 -> 2493153
2493151 -> 2493154
2493152 -> 2493155
2493153 -> 2493156
2493154 -> 2493157
2493155 -> 2493158
2493156 -> 2493159
2493157 -> 2493160
2493158 -> 2493161
2493159 -> 2493162
2493160 -> 2493163
2493161 -> 2493164
2493162 -> 2493165
2493163 -> 2493166
2493164 -> 2493167
2493165 -> 2493168
2493166 -> 2493169
2493167 -> 2493170
2493168 -> 2493171
2493169 -> 2493172
2493170 -> 2493173
2493171 -> 2493174
2493172 -> 2493175
2493173 -> 2493176
2493174 -> 2493177
2493175 -> 2493178
2493176 -> 2493179
2493177 -> 2493180
2493178 -> 2493181
2493179 -> 2493182
2493180 -> 2493183
2493181 -> 2493184
2493182 -> 2493185
2493183 -> 2493186
2493184 -> 2493187
2493185 -> 2493188
2493186 -> 2493189
2493187 -> 2493190
2493188 -> 2493191
2493189 -> 2493192
2493190 -> 2493193
2493191 -> 2493194
2493192 -> 2493195
2493193 -> 2493196
2493194 -> 2493197
2493195 -> 2493198
2493196 -> 2493199
2493197 -> 2493200
2493198 -> 2493201
2493199 -> 2493202
2493200 -> 2493203
2493201 -> 2493204
2493202 -> 2493205
2493203 -> 2493206
2493204 -> 2493207
2493205 -> 2493208
2493206 -> 2493209
2493207 -> 2493210
2493208 -> 2493211
2493209 -> 2493212
2493210 -> 2493213
2493211 -> 2493214
2493212 -> 2493215
2493213 -> 2493216
2493214 -> 2493217
2493215 -> 2493218
2493216 -> 2493219
2493217 -> 2493220
2493218 -> 2493221
2493219 -> 2493222
2493220 -> 2493223
2493221 -> 2493224
2493222 -> 2493225
2493223 -> 2493226
2493224 -> 2493227
2493225 -> 2493228
2493226 -> 2493229
2493227 -> 2493230
2493228 -> 2493231
2493229 -> 2493232
2493230 -> 2493233
2493231 -> 2493234
2493232 -> 2493235
2493233 -> 2493236
2493234 -> 2493237
2493235 -> 2493238
2493236 -> 2493239
2493237 -> 2493240
2493238 -> 2493241
2493239 -> 2493242
2493240 -> 2493243
2493241 -> 2493244
2493242 -> 2493245
2493243 -> 2493246
2493244 -> 2493247
2493245 -> 2493248
2493246 -> 2493249
2493247 -> 2493250
2493248 -> 2493251
2493249 -> 2493252
2493250 -> 2493253
2493251 -> 2493254
2493252 -> 2493255
2493253 -> 2493256
2493254 -> 2493257
2493255 -> 2493258
2493256 -> 2493259
2493257 -> 2493260
2493258 -> 2493261
2493259 -> 2493262
2493260 -> 2493263
2493261 -> 2493264
2493262 -> 2493265
2493263 -> 2493266
2493264 -> 2493267
2493265 -> 2493268
2493266 -> 2493269
2493267 -> 2493270
2493268 -> 2493271
2493269 -> 2493272
2493270 -> 2493273
2493271 -> 2493274
2493272 -> 2493275
2493273 -> 2493276
2493274 -> 2493277
2493275 -> 2493278
2493276 -> 2493279
2493277 -> 2493280
2493278 -> 2493281
2493279 -> 2493282
2493280 -> 2493283
2493281 -> 2493284
2493282 -> 2493285
2493283 -> 2493286
2493284 -> 2493287
2493285 -> 2493288
2493286 -> 2493289
2493287 -> 2493290
2493288 -> 2493291
2493289 -> 2493292
2493290 -> 2493293
2493291 -> 2493294
2493292 -> 2493295
2493293 -> 2493296
2493294 -> 2493297
2493295 -> 2493298
2493296 -> 2493299
2493297 -> 2493300
