method: main.MainUI.createScriptInfoCom:251780582
$r4(1752658385) -> $r4(-1752658385) 
$r5(1752658385) -> $r5(-1752658385) 
$r6(1752658385) -> $r6(-1752658385) 
$r7(1752658385) -> $r7(-1752658385) 
0(-1752658385) -> 0(716129736) 
this(-1752658385) -> this(716129736) 
parent(-1752658385) -> parent(716129736) 
itemtname(-1752658385) -> itemtname(716129736) 
l6(-1752658385) -> l6(716129736) 
com(-1752658385) -> com(716129736) 
script(-1752658385) -> script(716129736) 
scriptname(-1752658385) -> scriptname(716129736) 
scrDisplayCom(-1752658385) -> scrDisplayCom(716129736) 
$r0(-1752658385) -> $r0(716129736) 
$r1(-1752658385) -> $r1(716129736) 
$r2(-1752658385) -> $r2(716129736) 
$r3(-1752658385) -> $r3(716129736) 
$r4(-1752658385) -> $r4(716129736) 
$r5(-1752658385) -> $r5(716129736) 
$r6(-1752658385) -> $r6(716129736) 
$r7(-1752658385) -> $r7(716129736) 
0(716129736) -> 0(-716129736) 
this(716129736) -> this(-716129736) 
parent(716129736) -> parent(-716129736) 
itemtname(716129736) -> itemtname(-716129736) 
l6(716129736) -> l6(-716129736) 
com(716129736) -> com(-716129736) 
script(716129736) -> script(-716129736) 
scriptname(716129736) -> scriptname(-716129736) 
scrDisplayCom(716129736) -> scrDisplayCom(-716129736) 
$r0(716129736) -> $r0(-716129736) 
$r1(716129736) -> $r1(-716129736) 
$r2(716129736) -> $r2(-716129736) 
$r4(716129736) -> $r4(-716129736) 
$r5(716129736) -> $r5(-716129736) 
$r6(716129736) -> $r6(-716129736) 
$r7(716129736) -> $r7(-716129736) 
0(-716129736) -> 0(1494115164) 
this(-716129736) -> this(1494115164) 
parent(-716129736) -> parent(1494115164) 
itemtname(-716129736) -> itemtname(1494115164) 
l6(-716129736) -> l6(1494115164) 
com(-716129736) -> com(1494115164) 
script(-716129736) -> script(1494115164) 
scriptname(-716129736) -> scriptname(1494115164) 
scrDisplayCom(-716129736) -> scrDisplayCom(1494115164) 
$r0(-716129736) -> $r0(1494115164) 
$r1(-716129736) -> $r1(1494115164) 
$r2(-716129736) -> $r2(1494115164) 
$r3(-716129736) -> $r3(1494115164) 
$r4(-716129736) -> $r4(1494115164) 
$r5(-716129736) -> $r5(1494115164) 
$r6(-716129736) -> $r6(1494115164) 
$r7(-716129736) -> $r7(1494115164) 
0(1494115164) -> 0(1940732695) 
this(1494115164) -> this(1940732695) 
parent(1494115164) -> parent(1940732695) 
itemtname(1494115164) -> itemtname(1940732695) 
l6(1494115164) -> l6(1940732695) 
com(1494115164) -> com(1940732695) 
script(1494115164) -> script(1940732695) 
scriptname(1494115164) -> scriptname(1940732695) 
scrDisplayCom(1494115164) -> scrDisplayCom(1940732695) 
$r0(1494115164) -> $r0(1940732695) 
$r1(1494115164) -> $r1(1940732695) 
$r2(1494115164) -> $r2(1940732695) 
$r3(1494115164) -> $r4(1940732695) 
$r3(1494115164) -> $r3(1940732695) 
$r5(1494115164) -> $r5(1940732695) 
$r6(1494115164) -> $r6(1940732695) 
$r7(1494115164) -> $r7(1940732695) 
0(1940732695) -> 0(644052144) 
this(1940732695) -> this(644052144) 
parent(1940732695) -> parent(644052144) 
itemtname(1940732695) -> itemtname(644052144) 
l6(1940732695) -> l6(644052144) 
com(1940732695) -> com(644052144) 
script(1940732695) -> script(644052144) 
scriptname(1940732695) -> scriptname(644052144) 
scrDisplayCom(1940732695) -> scrDisplayCom(644052144) 
